,Annexe 3 : CODES CULTURES,,,,
,,"Destination
secondaire V","Demande d’aide BIO -
groupe bio**",,Paiement vert
Culture,Code culture,"« verdissement
»",,Groupe diversification***,Type pour calcul des exemptions
CEREALES ET ASSIMILES,,,,,
Avoine d’hiver,341,-,3,,Surface agricole - Terres arables
Avoine de printemps,342,-,3,Av-p,Surface agricole - Terres arables
Epeautre,36,-,3,,Surface agricole - Terres arables
Froment d’hiver,311,-,3,Tr-h,Surface agricole - Terres arables
Froment de printemps,312,-,3,,Surface agricole - Terres arables
Maïs ensilage,201,-,1,Ze,Surface agricole - Terres arables
Maïs grain,202,-,3,Ze,Surface agricole - Terres arables
Céréales + légumineuses*,39,-,3,MEL,Surface agricole - Terres arables
Orge d’hiver,321,-,3,,Surface agricole - Terres arables
Orge de printemps,322,-,3,Ho-p,Surface agricole - Terres arables
Orge de brasserie,323,-,3,Ho-p,Surface agricole - Terres arables
Sarrasin,37,-,3,,Surface agricole - Terres arables
Seigle d’hiver,331,-,3,,Surface agricole - Terres arables
Seigle de printemps,332,-,3,,Surface agricole - Terres arables
Triticale d’hiver,351,-,3,,Surface agricole - Terres arables
Triticale de printemps,352,-,3,,Surface agricole - Terres arables
Sorgho,381,-,3,,Surface agricole - Terres arables
Quinoa,382,-,3,,Surface agricole - Terres arables
CULTURES HORTICOLES,,,,,
Cultures fruitières annuelles - Fraises,9516,-,2,Fr,Surface agricole - Terres arables
Cultures fruitières annuelles - Framboises,9717,-,2,,Surface agricole - Cultures permanentes
Cultures fruitière pluriannuelles-hautes tiges ( de 50 à 250 arbres/ha)*,9742,-,3,,Surface agricole - Cultures permanentes
Cultures fruitière pluriannuelles-basses tiges ( plus de 250 arbres /ha)*,9741,-,2,,Surface agricole - Cultures permanentes
Cultures permanentes sous serre*,885,-,2,,Surface agricole - Cultures permanentes
Cultures horticoles non-comestibles*,96,-,2,Autres,Surface agricole - Terres arables
Autres légumes plein air,951,-,2,Autres,Surface agricole - Terres arables
Autres plantes ornementales de plein air,954,,2,,Surface agricole – Cultures permanentes
Autres plantes ornementales sous serre,958,,2,,Surface agricole – Cultures permanentes
Autres cultures de légumes sous serre,9521,,2,Autres,Surface agricole - Terres arables
Asperges (consommation au frais),9511,-,2,,Surface agricole – Cultures permanentes
Asperges (transformation industrielle),8511,-,2,,Surface agricole – Cultures permanentes
Brocolis (consommation au frais),9525,-,2,Braole,Surface agricole - Terres arables
Brocoli (transformation industrielle),8525,-,2,Braole,Surface agricole - Terres arables
Carotte (non hâtive) (consommation) (transformation industrielle),8535,-,2,Da,Surface agricole - Terres arables
Carotte (hâtive)(consommation) (transformation industrielle),8564,-,2,Da,Surface agricole - Terres arables
Carotte ( non hâtive) (consommation au frais),9535,-,2,Da,Surface agricole - Terres arables
Carotte ( hâtive) (consommation au frais),9564,-,2,Da,Surface agricole - Terres arables
Céleri-rave (transformation industrielle),8543,-,2,Apium graveolens,Surface agricole - Terres arables
Céleri-branche ( transformation industrielle),8551,-,2,Apium graveolens,Surface agricole - Terres arables
Céleri à côtes ( transformation industrielle),8539,-,2,Apium graveolens,Surface agricole - Terres arables
Céleri-rave (consommation au frais),9543,-,2,Apium graveolens,Surface agricole - Terres arables
Céleri vert ( transformation industrielle),8548,-,2,Apium graveolens,Surface agricole - Terres arables
Cerfeuil (consommation au frais),960,-,2,Ant,Surface agricole - Terres arables
Cerfeuil ( transformation industrielle),860,-,2,Ant,Surface agricole - Terres arables
Champignons,9536,-,2,,Surface agricole – Cultures permanentes
Choux-rave (consommation au frais),9529,-,2,Braole,Surface agricole - Terres arables
Choux-rave (transformation industrielle),8529,-,2,Braole,Surface agricole - Terres arables
Chou de Bruxelles (transformation industrielle),8512,-,2,Braole,Surface agricole - Terres arables
Chou de Bruxelles (consommation au frais),9512,-,2,Braole,Surface agricole - Terres arables
Chou-fleur (transformation industrielle),8523,-,2,Braole,Surface agricole - Terres arables
Chou-fleur (consommation au frais),9523,-,2,Braole,Surface agricole - Terres arables
Choux – légumes/Céleri vert (consommation au frais),9548,-,2,Braole,Surface agricole - Terres arables
Choux rouge (consommation au frais),9527,-,2,Braole,Surface agricole - Terres arables
Choux rouge (transformation industrielle),8527,-,2,Braole,Surface agricole - Terres arables
Chou blanc (transformation industrielle),8540,-,2,Braole,Surface agricole - Terres arables
Chou blanc (consommation au frais),9540,-,2,Braole,Surface agricole - Terres arables
Chou frisé (transformation industrielle),8524,-,2,Braole,Surface agricole - Terres arables
Chou de Milan ( transformation industrielle),8546,-,2,Braole,Surface agricole - Terres arables
Chou chinois,8526,-,2,Brarap-p,Surface agricole - Terres arables
Courgettes ( consommation au frais),9541,-,2,Cucpep,Surface agricole - Terres arables
Courgettes (transformation industrielle),8541,-,2,Cucpep,Surface agricole - Terres arables
Courges butternut ( consommation au frais),9456,-,2,Cucmos,Surface agricole - Terres arables
Courges butternut (transformation industrielle),8456,-,2,Cucmos,Surface agricole - Terres arables
Echalotes en frais,9513,-,2,All,Surface agricole - Terres arables
Echalotes industrielle,8513,-,2,All,Surface agricole - Terres arables
Endives de Bruxelles (pour la racine) (transformation industrielle),8561,-,2,Ci,Surface agricole - Terres arables
Endives (chicons),9515,-,2,Ci,Surface agricole - Terres arables
Epinards (consommation au frais),9519,-,2,Spi,Surface agricole - Terres arables
Epinards ( transformation industrielle),8519,-,2,Spi,Surface agricole - Terres arables
Fenouil ( de Florence) ( consommation au frais),9534,-,2,Foe,Surface agricole - Terres arables
Fenouil (de Florence) ( transformation industrielle),8534,-,2,Foe,Surface agricole - Terres arables
Fleurs et plantes ornementales sous serre,9588,,2,,Surface agricole - Cultures permanentes
Plants de fraisiers de plein air,9724,-,2,Fr,Surface agricole - Terres arables
Cultures fruitières annuelles- Fraises sous serres,8516,_,2,Fr,Surface agricole - Terres arables
Haricots de conserverie,9410,-,2,,Surface agricole - Terres arables - Légumineuse
Haricots verts (transformation industrielle),8410,-,2,Ph,Surface agricole - Terres arables - Légumineuse
Laitues pommées (consommation au frais),9518,-,2,Lac,Surface agricole - Terres arables
Laitues pommées (transformation industrielle),8518,-,2,Lac,Surface agricole - Terres arables
Légume légumineuse,966,-,2,Autres,Surface agricole - Terres arables - Légumineuse
Navets fourragers,746,-,1,Brarap-p,Surface agricole - Terres arables
Oignons (hâtifs) (transformation industrielle),8563,-,2,All,Surface agricole - Terres arables
Oignons (non hâtifs) ( transformation industrielle),8514,-,2,All,Surface agricole - Terres arables
Oignons (hâtifs) (consommation au frais),9563,-,2,All,Surface agricole - Terres arables
Oignons (non hâtifs) (consommation au frais),9514,-,2,All,Surface agricole - Terres arables
Pépinières de plants forestiers,9560,-,2,,Surface agricole - Cultures permanentes
Pépinières de plants fruitiers ou de plantes ornementales,9520,-,2,,Surface agricole - Cultures permanentes
Persil ( consommation au frais),959,-,2,Pet,Surface agricole - Terres arables
Persil (transformation industrielle),859,-,2,Pet,Surface agricole - Terres arables
