ID_CROPS_WL,ID_GROUP_WL,ID_GROUP_ICC,similarity
341,CEREALES ET ASSIMILES,1.0,100.0
342,CEREALES ET ASSIMILES,1.0,100.0
36,CEREALES ET ASSIMILES,,
311,CEREALES ET ASSIMILES,,
312,CEREALES ET ASSIMILES,,
201,CEREALES ET ASSIMILES,1.0,100.0
202,CEREALES ET ASSIMILES,1.0,100.0
39,CEREALES ET ASSIMILES,1.0,100.0
321,CEREALES ET ASSIMILES,1.0,100.0
322,CEREALES ET ASSIMILES,1.0,100.0
323,CEREALES ET ASSIMILES,1.0,100.0
37,CEREALES ET ASSIMILES,1.0,100.0
331,CEREALES ET ASSIMILES,1.0,100.0
332,CEREALES ET ASSIMILES,1.0,100.0
351,CEREALES ET ASSIMILES,1.0,100.0
352,CEREALES ET ASSIMILES,1.0,100.0
381,CEREALES ET ASSIMILES,1.0,100.0
382,CEREALES ET ASSIMILES,1.0,100.0
9516,CULTURES HORTICOLES,3.0,100.0
9717,CULTURES HORTICOLES,3.0,100.0
9742,CULTURES HORTICOLES,,
9741,CULTURES HORTICOLES,,
885,CULTURES HORTICOLES,,
96,CULTURES HORTICOLES,,
951,CULTURES HORTICOLES,2.0,100.0
954,CULTURES HORTICOLES,,
958,CULTURES HORTICOLES,,
9521,CULTURES HORTICOLES,2.0,100.0
9511,CULTURES HORTICOLES,2.0,100.0
8511,CULTURES HORTICOLES,2.0,100.0
9525,CULTURES HORTICOLES,,
8525,CULTURES HORTICOLES,,
8535,CULTURES HORTICOLES,,
8564,CULTURES HORTICOLES,,
9535,CULTURES HORTICOLES,,
9564,CULTURES HORTICOLES,,
8543,CULTURES HORTICOLES,,
8551,CULTURES HORTICOLES,,
8539,CULTURES HORTICOLES,,
9543,CULTURES HORTICOLES,,
8548,CULTURES HORTICOLES,,
960,CULTURES HORTICOLES,,
860,CULTURES HORTICOLES,,
9536,CULTURES HORTICOLES,2.0,100.0
9529,CULTURES HORTICOLES,,
8529,CULTURES HORTICOLES,,
8512,CULTURES HORTICOLES,,
9512,CULTURES HORTICOLES,,
8523,CULTURES HORTICOLES,,
9523,CULTURES HORTICOLES,,
9548,CULTURES HORTICOLES,2.0,100.0
9527,CULTURES HORTICOLES,2.0,100.0
8527,CULTURES HORTICOLES,2.0,100.0
8540,CULTURES HORTICOLES,,
9540,CULTURES HORTICOLES,,
8524,CULTURES HORTICOLES,,
8546,CULTURES HORTICOLES,,
8526,CULTURES HORTICOLES,,
9541,CULTURES HORTICOLES,,
8541,CULTURES HORTICOLES,,
9456,CULTURES HORTICOLES,,
8456,CULTURES HORTICOLES,,
9513,CULTURES HORTICOLES,,
8513,CULTURES HORTICOLES,,
8561,CULTURES HORTICOLES,,
9515,CULTURES HORTICOLES,,
9519,CULTURES HORTICOLES,2.0,100.0
8519,CULTURES HORTICOLES,2.0,100.0
9534,CULTURES HORTICOLES,,
8534,CULTURES HORTICOLES,,
9588,CULTURES HORTICOLES,,
9724,CULTURES HORTICOLES,,
