,Grup,Cultiu
0,FRUITA DOLCA,PERERES/POMERES
1,CEREALS,ORDI
2,CEREALS D'ESTIU,SORGO
3,CEREALS,CIVADA
22,HORTICOLES,PATATA
25,OLIVERAR,OLIVERES
28,FRUITA DOLCA,PRESSEGUERS
36,FRUITA DOLCA,PERERES
37,FRUITA DOLCA,POMERES
39,FRUITA DOLCA,CIRERERS
40,HORTICOLES,MELÓ
41,HORTICOLES,SÍNDRIA
43,HORTICOLES,"CEBES, CALÇOTS, PORROS I ALLS"
44,HORTICOLES,CARBASSÓ
45,HORTICOLES,CARABASSA
46,HORTICOLES,TOMÀQUET
87,GUARET,GUARET NO SIE/ SUP. LLIURE SE*
92,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA
94,PROTEAGINOSES,PÈSOLS SIE
95,LLEGUMINOSES,VECES SIE
134,VINYA,VINYES
162,FRUITS DE CLOSCA,AMETLLERS
166,FRUITA DOLCA,ALBERCOQUERS
173,PROTEAGINOSES,PÈSOLS NO SIE
185,HORTICOLES,HORTA
189,CEREALS,BLAT TOU
835,CEREALS,MILL
908,OLEAGINOSES,CAMELINA
924,FARRATGERES,ALFALS SIE
936,FARRATGERES,TREPADELLA SIE
938,FARRATGERES,FESTUCA
940,FARRATGERES,RAY-GRASS
980,FRUITA DOLCA,FIGUERA
981,FARRATGERES,VEÇA I CIVADA SIE
1006,FARRATGERES,VEÇA I CIVADA NO SIE
1150,CEREALS D'ESTIU,BLAT DE MORO
1220,PROTEAGINOSES,FAVES I FAVONS NO SIE
1248,FRUITS DE CLOSCA,AVELLANER
1250,HORTICOLES,ENCIAM
1254,HORTICOLES,COL I COLIFLOR
1256,HORTICOLES,COGOMBRE
1257,HORTICOLES,BLEDA
1261,FARRATGERES,VEÇA I TRITICALE SIE
1262,FARRATGERES,ALFALS NO SIE
1263,LLEGUMINOSES,MONGETA NO SIE
1374,OLEAGINOSES,COLZA
1387,PROTEAGINOSES,FAVES I FAVONS SIE
1432,LLEGUMINOSES,MONGETA SIE
1442,ALTRES PRODUCTES,ESPECIES AROMÀTIQUES HERBÀCI
1450,HORTICOLES,CARXOFA
1451,HORTICOLES,PASTANAGA
1456,HORTICOLES,MADUIXA
1467,HORTICOLES,ESPARRECS
1475,ALTRES PRODUCTES,CÀNEM
1481,HORTICOLES,PEBROT
1487,CITRICS,CLEMENTINA
1497,FRUITA DOLCA,FRUITERS VARIS
1523,FRUITS DE CLOSCA,NOGUERES
1524,FRUITA DOLCA,ALTRES FRUITERS
1888,CEREALS,ESPELTA
2364,CEREALS,SÈGOL
2571,LLEGUMINOSES,LLENTIES SIE
2588,LLEGUMINOSES,ERBS (LLEGUM) SIE
2614,FARRATGERES,FENIGREC SIE
2666,FARRATGERES,TREPADELLA NO SIE
2711,ALTRES PRODUCTES,REMOLATXA
2735,HORTICOLES,API
2740,HORTICOLES,ALBERGÍNIA
2761,HORTICOLES,NAP I COL XINESA
2768,HORTICOLES,ESPINAC
2772,HORTICOLES,RAVE
2785,ALTRES PRODUCTES,ALFÀBREGA
2855,FRUITA DOLCA,KIWI
3221,CEREALS,TRITICALE
3484,FARRATGERES,VECES NO SIE
4137,ALTRES PRODUCTES,LLÚPOL
4159,ALTRES PRODUCTES,TÒFONA
5276,ALTRES PRODUCTES,LAVANDA O ESPÍGOL
5278,LLEGUMINOSES,CIGRONS NO SIE
5281,FARRATGERES,FENIGREC NO SIE
5283,LLEGUMINOSES,FAVERA BORDA NO SIE O MOREU N*
5363,HORTICOLES,"ENDÍVIA, ESCAROLA I XICOIRA"
5367,CITRICS,LLIMONER
5368,FRUITA DOLCA,CAQUI
6344,ALTRES PRODUCTES,FLORS I ORNAMENTALS
6381,FARRATGERES,PÈSOL I ORDI SIE
6840,FARRATGERES,VEÇA I BLAT SIE
6852,FARRATGERES,VEÇA I BLAT NO SIE
7685,FRUITA DOLCA,PRUNERES
8919,LLEGUMINOSES,ERBS (LLEGUM) NO SIE
9468,ALTRES PRODUCTES,VIVER ARBRE I ARBUST
10631,ALTRES PRODUCTES,JULIVERT
11001,CEREALS,MESTALL
11061,FRUITA DOLCA,NECTARINS
11402,LLEGUMINOSES,CIGRONS SIE
13370,CEREALS,BLAT DUR
14368,FRUITS DE CLOSCA,GARROFER
14388,FRUITA DOLCA,CODONY
14933,LLEGUMINOSES,LLENTIES NO SIE
16312,FRUITS DE CLOSCA,PISTATXER O FESTUC
16393,CEREALS,BLAT KHORASAN
17336,FARRATGERES,DÀCTIL (DACTYLIS)
17792,FRUITA DOLCA,PRESSEGUERS/NECTARINS
18518,ALTRES PRODUCTES,SAFRÀ
19913,FARRATGERES,VEÇA I ORDI NO SIE
21986,FARRATGERES,VEÇA I ORDI SIE
22308,ALTRES PRODUCTES,ESPECIES AROMATIQUES LLENYOSES
23664,FARRATGERES,TRÈVOL SIE
23763,FARRATGERES,TRÈVOL NO SIE
25254,FRUITA DOLCA,MAGRANER
27773,CEREALS,FAJOL
28075,ALTRES PRODUCTES,SAJOLIDA
28111,FARRATGERES,VEÇA I TRITICALE  NO SIE
28116,FARRATGERES,PÈSOL I CIVADA NO SIE
28225,FARRATGERES,PÈSOL I CIVADA SIE
30495,OLEAGINOSES,GIRA-SOL
32211,ALTRES PRODUCTES,CORIANDRE
33835,ALTRES PRODUCTES,BOIXAC O CALÈNDULA
41331,ALTRES PRODUCTES,MELISSA O TARONGINA
43857,LLEGUMINOSES,GUIXES NO SIE O PEDREROL NO S*
45903,FRUITA DOLCA,NESPRER
46517,FARRATGERES,SULLA NO SIE O ENCLOVA NO SIE
47630,ALTRES PRODUCTES,FARIGOLA O TIMÓ
48540,FARRATGERES,POA
52195,ALTRES PRODUCTES,QUINOA
62046,CITRICS,TARONGER
73338,OLEAGINOSES,SOIA SIE
74081,ALTRES PRODUCTES,LLI
76395,HORTICOLES,BOLETS
77765,ALTRES PRODUCTES,ANET
77768,ALTRES PRODUCTES,FONOLL
77773,ALTRES PRODUCTES,MENTA
77776,ALTRES PRODUCTES,ROMANÍ
78401,ALTRES PRODUCTES,MARDUIX
89246,VINYA,RAÏM DE TAULA
98678,LLEGUMINOSES,FAVERS BORDA SIE O MOREU SIE
107895,ALTRES PRODUCTES,CANYA COMUNA
108337,ALTRES PRODUCTES,CONREU DE FRUITS DEL BOSC
113368,HORTICOLES,CRÈIXENS
118632,ALTRES PRODUCTES,CASTANYERS
121596,ARROS,ARRÒS
126388,FARRATGERES,AGROSTIS
128174,PROTEAGINOSES,TRAMUSSOS DOLÇOS SIE
142407,ALTRES PRODUCTES,ORENGA
143846,GUARET,GUARET SIE AMB ESPÈCIES MEL?L
148698,FRUITA DOLCA,GERDS
153129,OLEAGINOSES,SOIA NO SIE
153131,PROTEAGINOSES,TRAMUSSOS DOLÇOS NO SIE
158292,FARRATGERES,SULLA SIE O ENCLOVA SIE
165516,FRUITA DOLCA,NABIUS
168222,FARRATGERES,CLOSA ANY 1
194383,FARRATGERES,CUA DE RATA (PHLEUM)
212445,CEREALS,ESCAIOLA
217017,ALTRES PRODUCTES,PERICÓ O HERBA DE SANT JOAN
222484,FARRATGERES,PÈSOL I ORDI NO SIE
232945,LLEGUMINOSES,GARLANDA NO SIE
242438,HORTICOLES,BORRATJA
272021,LLEGUMINOSES,GUIXÓ NO SIE O PÈSOL QUADRAT
277362,FRUITA DOLCA,NASHI
310921,ALTRES PRODUCTES,CAMAMILLA
350788,FRUITA DOLCA,GROSELLA
423763,LLEGUMINOSES,GUIXES SIE O PEDREROL SIE
427460,CEREALS,TRITORDEUM
438142,CITRICS,POMELO O ARANJA
438144,CITRICS,MANDARINER HÍBRID
438567,LLEGUMINOSES,'ALGARROBA' HERBÀCIA SIE
440344,CITRICS,SATSUMA
