GROUP,CROPS
FRUITA DOLCA,PERERES/POMERES
CEREALS,ORDI
CEREALS D'ESTIU,SORGO
CEREALS,CIVADA
HORTICOLES,PATATA
OLIVERAR,OLIVERES
FRUITA DOLCA,PRESSEGUERS
FRUITA DOLCA,PERERES
FRUITA DOLCA,POMERES
FRUITA DOLCA,CIRERERS
HORTICOLES,MELÓ
HORTICOLES,SÍNDRIA
HORTICOLES,"CEBES, CALÇOTS, PORROS I ALLS"
HORTICOLES,CARBASSÓ
HORTICOLES,CARABASSA
HORTICOLES,TOMÀQUET
GUARET,GUARET NO SIE/ SUP. LLIURE SE*
GUARET,GUARET SIE/ SUP. LLIURE SEMBRA
PROTEAGINOSES,PÈSOLS SIE
LLEGUMINOSES,VECES SIE
VINYA,VINYES
FRUITS DE CLOSCA,AMETLLERS
FRUITA DOLCA,ALBERCOQUERS
PROTEAGINOSES,PÈSOLS NO SIE
HORTICOLES,HORTA
CEREALS,BLAT TOU
CEREALS,MILL
OLEAGINOSES,CAMELINA
FARRATGERES,ALFALS SIE
FARRATGERES,TREPADELLA SIE
FARRATGERES,FESTUCA
FARRATGERES,RAY-GRASS
FRUITA DOLCA,FIGUERA
FARRATGERES,VEÇA I CIVADA SIE
FARRATGERES,VEÇA I CIVADA NO SIE
CEREALS D'ESTIU,BLAT DE MORO
PROTEAGINOSES,FAVES I FAVONS NO SIE
FRUITS DE CLOSCA,AVELLANER
HORTICOLES,ENCIAM
HORTICOLES,COL I COLIFLOR
HORTICOLES,COGOMBRE
HORTICOLES,BLEDA
FARRATGERES,VEÇA I TRITICALE SIE
FARRATGERES,ALFALS NO SIE
LLEGUMINOSES,MONGETA NO SIE
OLEAGINOSES,COLZA
PROTEAGINOSES,FAVES I FAVONS SIE
LLEGUMINOSES,MONGETA SIE
ALTRES PRODUCTES,ESPECIES AROMÀTIQUES HERBÀCI
HORTICOLES,CARXOFA
HORTICOLES,PASTANAGA
HORTICOLES,MADUIXA
HORTICOLES,ESPARRECS
ALTRES PRODUCTES,CÀNEM
HORTICOLES,PEBROT
CITRICS,CLEMENTINA
FRUITA DOLCA,FRUITERS VARIS
FRUITS DE CLOSCA,NOGUERES
FRUITA DOLCA,ALTRES FRUITERS
CEREALS,ESPELTA
CEREALS,SÈGOL
LLEGUMINOSES,LLENTIES SIE
LLEGUMINOSES,ERBS (LLEGUM) SIE
FARRATGERES,FENIGREC SIE
FARRATGERES,TREPADELLA NO SIE
ALTRES PRODUCTES,REMOLATXA
HORTICOLES,API
HORTICOLES,ALBERGÍNIA
HORTICOLES,NAP I COL XINESA
HORTICOLES,ESPINAC
HORTICOLES,RAVE
ALTRES PRODUCTES,ALFÀBREGA
FRUITA DOLCA,KIWI
CEREALS,TRITICALE
FARRATGERES,VECES NO SIE
ALTRES PRODUCTES,LLÚPOL
ALTRES PRODUCTES,TÒFONA
ALTRES PRODUCTES,LAVANDA O ESPÍGOL
LLEGUMINOSES,CIGRONS NO SIE
FARRATGERES,FENIGREC NO SIE
LLEGUMINOSES,FAVERA BORDA NO SIE O MOREU N*
HORTICOLES,"ENDÍVIA, ESCAROLA I XICOIRA"
CITRICS,LLIMONER
FRUITA DOLCA,CAQUI
ALTRES PRODUCTES,FLORS I ORNAMENTALS
FARRATGERES,PÈSOL I ORDI SIE
FARRATGERES,VEÇA I BLAT SIE
FARRATGERES,VEÇA I BLAT NO SIE
FRUITA DOLCA,PRUNERES
LLEGUMINOSES,ERBS (LLEGUM) NO SIE
ALTRES PRODUCTES,VIVER ARBRE I ARBUST
ALTRES PRODUCTES,JULIVERT
CEREALS,MESTALL
FRUITA DOLCA,NECTARINS
LLEGUMINOSES,CIGRONS SIE
CEREALS,BLAT DUR
FRUITS DE CLOSCA,GARROFER
FRUITA DOLCA,CODONY
LLEGUMINOSES,LLENTIES NO SIE
FRUITS DE CLOSCA,PISTATXER O FESTUC
CEREALS,BLAT KHORASAN
