ID_CROPS_CAT,ICC1.1
AGROSTIS,9.01.02
ALBERCOQUERS,3.05.02
ALBERGÍNIA,2.02.02
ALFÀBREGA,9.03.01.02
ALFALS NO SIE,9.01.01
ALFALS SIE,9.01.01
ALGARROBA' HERBÀCIA SIE,7.10
ALTRES FRUITERS,3.90
AMETLLERS,3.06.01
ANET,6.02.02.90
API,2.01.90
ARRÒS,1.03
ARTEMÍSIA O ESTRAGÓ,6.02.02.90
AVELLANER,3.06.04
BLAT DE MORO,1.02
BLAT DUR,1.01
BLAT KHORASAN,1.01
BLAT TOU,1.01
BLEDA,2.01.90
BOIXAC O CALÈNDULA,9.03.01.90
BOLETS,2.04
BORRATJA,#indef
CÀNEM,9.02.01.05
CACAUET NO SIE,4.02
CACAUET SIE,4.02
CAMAMILLA,9.03.01.90
CAMELINA,4.03.90
CANYA COMUNA,9.90.02
CAQUI,3.01.90
CARABASSA,2.02.04
CARBASSÓ,2.02.04
CARXOFA,2.01.01
CASTANYERS,3.06.03
"CEBES, CALÇOTS, PORROS I ALLS",2.03
CIGRONS NO SIE,7.03
CIGRONS SIE,7.03
CIRERERS,3.05.03
CIVADA,1.07
CLEMENTINA,3.02.04
CLOSA ANY 1,9.01.02
CODONY,3.05.06
COGOMBRE,2.02.01
COL I COLIFLOR,#indef 2.01
COLZA,4.03.01
COMÍ,6.02.01.90
CONREU DE FRUITS DEL BOSC,3.04
CORIANDRE,6.02.01.90
CRÈIXENS,2.01.90
CUA DE RATA (PHLEUM),9.01.01
DÀCTIL (DACTYLIS),9.01.01
ENCIAM,2.01.05
"ENDÍVIA, ESCAROLA I XICOIRA",2.01.07
ERBS (LLEGUM) NO SIE,7.10
ERBS (LLEGUM) SIE,7.10
ESCAIOLA,1.13
ESPARRECS,2.01.02
ESPECIES AROMÀTIQUES HERBÀCI,6.02.01.90
ESPECIES AROMATIQUES LLENYOSES,6.02.02.90
ESPELTA,1.01
ESPINAC,2.01.06
FAJOL,1.10
FARIGOLA O TIMÓ,6.02.02.90
FAVERA BORDA NO SIE O MOREU N*,7.10
FAVERS BORDA SIE O MOREU SIE,7.10
FAVES I FAVONS NO SIE,7.02
FAVES I FAVONS SIE,7.02
FENIGREC NO SIE,7.90
FENIGREC SIE,7.90
FESTUCA,9.01.01
FIGUERA,3.01.05
FLOR TALLADA,9.06
FONOLL,6.02.01.02
GARLANDA NO SIE,7.10
GARROFER,3.90
GERDS,3.04.04
GIRA-SOL,4.03.08
GROSELLA,3.04.02
GUARET NO SIE/ SUP. LLIURE SE*,9.01
