ID_CROPS_FR,GROUP_FR,CROPS_FR,,,
BTH,Blé tendre,Blé tendre d’hiver,,,
BTP,Blé tendre,Blé tendre de printemps,,,
MID,Maïs grain et ensilage,Maïs doux,,,
MIE,Maïs grain et ensilage,Maïs ensilage,,,
MIS,Maïs grain et ensilage,Maïs,,,
ORH,Orge,Orge d'hiver,,,
ORP,Orge,Orge de printemps,,,
AVH,Autres céréales,Avoine d’hiver,,,
AVP,Autres céréales,Avoine de printemps,,,
BDH,Autres céréales,Blé dur d’hiver,,,
BDP,Autres céréales,Blé dur de printemps,,,
BDT,Autres céréales,Blé dur de printemps semé tardivement (après le 31/05),,,
CAG,Autres céréales,Autre céréale d’un autre genre,,,
CGF,Autres céréales,Autre céréale de genre Fagopyrum,,,
CGH,Autres céréales,Autre céréale de genre Phalaris,,,
CGO,Autres céréales,Autre céréale de genre Sorghum,,,
CGP,Autres céréales,Autre céréale de genre Panicum,,,
CGS,Autres céréales,Autre céréale de genre Setaria,,,
CHA,Autres céréales,Autre céréale d’hiver de genre Avena,,,
CHH,Autres céréales,Autre céréale d’hiver de genre Hordeum,,,
CHS,Autres céréales,Autre céréale d’hiver de genre Secale,,,
CHT,Autres céréales,Autre céréale d’hiver de genre Triticum,,,
CPA,Autres céréales,Autre céréale de printemps de genre Avena,,,
CPH,Autres céréales,Autre céréale de printemps de genre Hordeum,,,
CPS,Autres céréales,Autre céréale de printemps de genre Secale,,,
CPT,Autres céréales,Autre céréale de printemps de genre Triticum,,,
CPZ,Autres céréales,Autre céréale de printemps de genre Zea,,,
EPE,Autres céréales,Épeautre,,,
MCR,Autres céréales,Mélange de céréales,,,
MLT,Autres céréales,Millet,,,
SGH,Autres céréales,Seigle d’hiver,,,
SGP,Autres céréales,Seigle de printemps,,,
SOG,Autres céréales,Sorgho,,,
SRS,Autres céréales,Sarrasin,,,
TTH,Autres céréales,Triticale d’hiver,,,
TTP,Autres céréales,Triticale de printemps,,,
CZH,Colza,Colza d’hiver,,,
CZP,Colza,Colza de printemps,,,
TRN,Tournesol,Tournesol,,,
ARA,Autres oléagineux,Arachide,,,
LIH,Autres oléagineux,Lin non textile d’hiver,,,
LIP,Autres oléagineux,Lin non textile de printemps,,,
MOL,Autres oléagineux,Mélange d’oléagineux,,,
NVE,Autres oléagineux,Navette d’été,,,
NVH,Autres oléagineux,Navette d’hiver,,,
OAG,Autres oléagineux,Autre oléagineux d’un autre genre,,,
OEH,Autres oléagineux,Autre oléagineux d’espèce Helianthus,,,
OEI,Autres oléagineux,Œillette,,,
OHN,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica napus,,,
OHR,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica rapa,,,
OPN,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica napus,,,
OPR,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica rapa,,,
SOJ,Autres oléagineux,Soja,,,
FEV,Protéagineux,Fève,,,
FVL,Protéagineux,Féverole semée avant le 31/05,,,
FVT,Protéagineux,Féverole semée tardivement (après le 31/05),,,
LDH,Protéagineux,Lupin doux d’hiver,,,
LDP,Protéagineux,Lupin doux de printemps semé avant le 31/05,,,
LDT,Protéagineux,Lupin doux de printemps semé tardivement (après le 31/05),,,
MPC,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,,,
MPP,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole),,,
MPT,Protéagineux,Mélange de protéagineux semés tardivement (après le 31/05),,,
PAG,Protéagineux,Autre protéagineux d’un autre genre,,,
PHI,Protéagineux,Pois d’hiver,,,
PPR,Protéagineux,Pois de printemps semé avant le 31/05,,,
PPT,Protéagineux,Pois de printemps semé tardivement (après le 31/05),,,
CHV,Plantes à fibres,Chanvre,,,
CSE,Plantes à fibres,Chanvre sans étiquette conforme,,,
LIF,Plantes à fibres,Lin fibres,,,
J5M,Gel (surfaces gelées sans production),Jachère de 5 ans ou moins,,,
J6P,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus,,,
J6S,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,,,
JNO,Gel (surfaces gelées sans production),Jachère noire,,,
RIZ,Riz,Riz,,,
LEC,Légumineuses à grains,Lentille cultivée (non fourragère),,,
PCH,Légumineuses à grains,Pois chiche,,,
BVF,Fourrage,Betterave fourragère,,,
CAF,Fourrage,Carotte fourragère,,,
CHF,Fourrage,Chou fourrager,,,
CPL,Fourrage,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),,,
DTY,Fourrage,Dactyle de 5 ans ou moins,,,
FAG,Fourrage,Autre fourrage annuel d’un autre genre,,,
FET,Fourrage,Fétuque de 5 ans ou moins,,,
FF5,Fourrage,Féverole fourragère implantée pour la récolte 2015,,,
FF6,Fourrage,Féverole fourragère implantée pour la récolte 2016,,,
FF7,Fourrage,Féverole fourragère implantée pour la récolte 2017,,,
FF8,Fourrage,Féverole fourragère implantée pour la récolte 2018,,,
FFO,Fourrage,Autre féverole fourragère,,,
FLO,Fourrage,Fléole de 5 ans ou moins,,,
FSG,Fourrage,Autre plante fourragère sarclée d’un autre genre,,,
GAI,Fourrage,Gaillet,,,
GES,Fourrage,Gesse,,,
GFP,Fourrage,Autre graminée fourragère pure de 5 ans ou moins,,,
JO5,Fourrage,Jarosse implantée pour la récolte 2015,,,
JO6,Fourrage,Jarosse implantée pour la récolte 2016,,,
JO7,Fourrage,Jarosse implantée pour la récolte 2017,,,
JO8,Fourrage,Jarosse implantée pour la récolte 2018,,,
JOD,Fourrage,Jarosse déshydratée,,,
JOS,Fourrage,Autre jarosse,,,
LEF,Fourrage,Lentille fourragère,,,
LFH,Fourrage,Autre lupin fourrager d’hiver,,,
LFP,Fourrage,Autre lupin fourrager de printemps,,,
LH5,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2015,,,
