CODE_CULTURE,ID_GROUP_JECAM
BTH,1
BTP,1
MID,1
MIE,1
MIS,1
ORH,1
ORP,1
AVH,1
AVP,1
BDH,1
BDP,1
BDT,1
CAG,1
CGF,1
CGH,1
CGO,1
CGP,1
CGS,1
CHA,1
CHH,1
CHS,1
CHT,1
CPA,1
CPH,1
CPS,1
CPT,1
CPZ,1
EPE,1
MCR,1
MLT,1
SGH,1
SGP,1
SOG,1
SRS,1
TTH,1
TTP,1
CZH,4
CZP,4
TRN,4
ARA,4
LIH,4
LIP,4
MOL,4
NVE,4
NVH,4
OAG,4
OEH,4
OEI,4
OHN,4
OHR,4
OPN,4
OPR,4
SOJ,3
FEV,7
FVL,7
FVT,7
LDH,7
LDP,7
LDT,7
MPC,7
MPP,7
MPT,7
PAG,7
PHI,7
PPR,7
PPT,7
CHV,9
CSE,9
LIF,9
J5M,9
J6P,9
J6S,9
JNO,9
RIZ,1
LEC,7
PCH,7
BVF,9
CAF,9
CHF,9
CPL,9
DTY,9
FAG,9
FET,9
FF5,9
FF6,9
FF7,9
FF8,9
FFO,9
FLO,9
FSG,9
GAI,9
GES,9
GFP,9
JO5,9
JO6,9
JO7,9
JO8,9
JOD,9
JOS,9
LEF,9
LFH,9
LFP,9
LH5,9
LH6,9
LH7,9
LH8,9
LO7,9
LO8,9
LOT,9
LP5,9
LP6,9
LP7,9
LP8,9
LU5,9
LU6,9
LU7,9
LU8,9
LUD,9
LUZ,9
MC5,9
MC6,9
MC7,9
MC8,9
ME5,9
ME6,9
ME7,9
ME8,9
MED,9
MEL,9
MH5,9
MH6,9
MH7,9
MI7,9
MI8,9
MIN,9
ML5,9
ML6,9
ML7,9
ML8,9
MLC,9
MLD,9
MLF,9
MLG,9
MOH,9
NVF,9
PAT,9
PFH,9
PFP,9
PH5,9
PH6,9
PH7,9
PH8,9
PP5,9
PP6,9
PP7,9
PP8,9
RDF,9
SA5,9
SA6,9
SA7,9
SA8,9
SAD,9
SAI,9
SE5,9
SE6,9
SE7,9
SE8,9
SED,9
SER,9
TR5,9
TR6,9
TR7,9
TR8,9
TRD,9
TRE,9
VE5,9
VE6,9
VE7,9
VE8,9
VED,9
VES,9
XFE,9
BOP,9
SPH,9
SPL,9
PPH,9
PRL,9
PTR,9
RGA,9
AGR,3
ANA,3
AVO,3
BCA,3
BCF,3
BCI,3
BCP,3
BCR,3
BEA,3
BEF,3
BEI,3
BEP,3
BER,3
CAC,3
CBT,3
PFR,3
PRU,3
PVT,3
PWT,3
VGD,3
VRG,3
RVI,3
VRC,3
VRN,3
VRT,3
CAB,3
CTG,3
NOS,3
NOX,3
PIS,3
OLI,4
ANE,9
ANG,9
ANI,6
BAR,9
BAS,9
BRH,9
BTN,2
CAV,6
CHR,9
CIB,9
CML,9
CMM,9
CRD,9
CRF,9
CUM,6
CUR,6
EST,9
FNO,6
FNU,9
HBL,6
LAV,9
MAV,9
MLI,9
MLP,9
MOT,4
MRJ,9
MTH,9
ORT,9
OSE,9
PAR,9
PMD,9
PPA,9
PPF,9
PPP,9
PSL,9
PSN,9
PSY,9
ROM,9
SGE,9
SRI,9
TAB,9
THY,9
TOT,2
VAL,9
VNB,6
VNL,6
VNV,6
YLA,9
AIL,2
ART,2
AUB,2
BLT,9
BUR,9
CAR,2
CCN,2
CCT,2
CEL,2
CES,2
CHU,2
CMB,2
CRA,2
CRN,2
CRS,2
CSS,2
DOL,2
EPI,2
FLA,2
FLP,2
FRA,2
GER,9
HAR,7
HPC,9
HSA,9
LBF,2
LSA,2
MAC,2
MLO,2
MRG,9
NVT,2
OIG,2
PAN,2
PAQ,9
PAS,2
PMV,9
POR,2
POT,2
PPO,2
PSE,9
PTC,5
PTF,2
PVP,6
RDI,2
ROQ,2
RUT,2
SFI,2
TOM,2
TOP,2
VER,9
CSA,8
CSF,8
CSI,8
CSP,8
CSR,8
ACA,9
BFP,9
BFS,9
BOR,9
BRO,9
BTA,9
CAE,9
CEE,9
CNE,9
CID,9
CIT,9
CUA,9
MCT,9
MPA,9
MRS,9
NYG,9
PCL,9
PEP,9
ROS,9
SBO,9
SNA,9
SNE,9
TBT,5
TCR,9
TRU,2
VET,9
ZZZ,9
MLS,7
