CODE_CULTURE,LIBELLE_CULTURE,CODE_GROUPE_CULTURE,LIBELLE_GROUPE_CULTURE,ID_GROUP_JECAM
BTH,Blé tendre d’hiver,1,Blé tendre,1
BTP,Blé tendre de printemps,1,Blé tendre,1
MID,Maïs doux,2,Maïs grain et ensilage,1
MIE,Maïs ensilage,2,Maïs grain et ensilage,1
MIS,Maïs,2,Maïs grain et ensilage,1
ORH,Orge d'hiver,3,Orge,1
ORP,Orge de printemps,3,Orge,1
AVH,Avoine d’hiver,4,Autres céréales,1
AVP,Avoine de printemps,4,Autres céréales,1
BDH,Blé dur d’hiver,4,Autres céréales,1
BDP,Blé dur de printemps,4,Autres céréales,1
BDT,Blé dur de printemps semé tardivement (après le 31/05),4,Autres céréales,1
CAG,Autre céréale d’un autre genre,4,Autres céréales,1
CGF,Autre céréale de genre Fagopyrum,4,Autres céréales,1
CGH,Autre céréale de genre Phalaris,4,Autres céréales,1
CGO,Autre céréale de genre Sorghum,4,Autres céréales,1
CGP,Autre céréale de genre Panicum,4,Autres céréales,1
CGS,Autre céréale de genre Setaria,4,Autres céréales,1
CHA,Autre céréale d’hiver de genre Avena,4,Autres céréales,1
CHH,Autre céréale d’hiver de genre Hordeum,4,Autres céréales,1
CHS,Autre céréale d’hiver de genre Secale,4,Autres céréales,1
CHT,Autre céréale d’hiver de genre Triticum,4,Autres céréales,1
CPA,Autre céréale de printemps de genre Avena,4,Autres céréales,1
CPH,Autre céréale de printemps de genre Hordeum,4,Autres céréales,1
CPS,Autre céréale de printemps de genre Secale,4,Autres céréales,1
CPT,Autre céréale de printemps de genre Triticum,4,Autres céréales,1
CPZ,Autre céréale de printemps de genre Zea,4,Autres céréales,1
EPE,Épeautre,4,Autres céréales,1
MCR,Mélange de céréales,4,Autres céréales,1
MLT,Millet,4,Autres céréales,1
SGH,Seigle d’hiver,4,Autres céréales,1
SGP,Seigle de printemps,4,Autres céréales,1
SOG,Sorgho,4,Autres céréales,1
SRS,Sarrasin,4,Autres céréales,1
TTH,Triticale d’hiver,4,Autres céréales,1
TTP,Triticale de printemps,4,Autres céréales,1
CZH,Colza d’hiver,5,Colza,4
CZP,Colza de printemps,5,Colza,4
TRN,Tournesol,6,Tournesol,4
ARA,Arachide,7,Autres oléagineux,4
LIH,Lin non textile d’hiver,7,Autres oléagineux,4
LIP,Lin non textile de printemps,7,Autres oléagineux,4
MOL,Mélange d’oléagineux,7,Autres oléagineux,4
NVE,Navette d’été,7,Autres oléagineux,4
NVH,Navette d’hiver,7,Autres oléagineux,4
OAG,Autre oléagineux d’un autre genre,7,Autres oléagineux,4
OEH,Autre oléagineux d’espèce Helianthus,7,Autres oléagineux,4
OEI,Œillette,7,Autres oléagineux,4
OHN,Autre oléagineux d’hiver d’espèce Brassica napus,7,Autres oléagineux,4
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa,7,Autres oléagineux,4
OPN,Autre oléagineux de printemps d’espèce Brassica napus,7,Autres oléagineux,4
OPR,Autre oléagineux de printemps d’espèce Brassica rapa,7,Autres oléagineux,4
SOJ,Soja,7,Autres oléagineux,3
FEV,Fève,8,Protéagineux,7
FVL,Féverole semée avant le 31/05,8,Protéagineux,7
FVT,Féverole semée tardivement (après le 31/05),8,Protéagineux,7
LDH,Lupin doux d’hiver,8,Protéagineux,7
LDP,Lupin doux de printemps semé avant le 31/05,8,Protéagineux,7
LDT,Lupin doux de printemps semé tardivement (après le 31/05),8,Protéagineux,7
