ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,ICC1.1,ICC_REM
BTH,Bl‚ tendre,Bl‚ tendre d'hiver,1,1.01,
BTP,Bl‚ tendre,Bl‚ tendre de printemps,1,1.01,
MID,Ma‹s grain et ensilage,Ma‹s doux,2,1.02,
MIE,Ma‹s grain et ensilage,Ma‹s ensilage,2,1.02,
MIS,Ma‹s grain et ensilage,Ma‹s,2,1.02,
ORH,Orge,Orge d'hiver,3,1.05,
ORP,Orge,Orge de printemps,3,1.05,
AVH,Autres c‚r‚ales,Avoine d'hiver,4,1.07,
AVP,Autres c‚r‚ales,Avoine de printemps,4,1.07,
BDH,Autres c‚r‚ales,Bl‚ dur d'hiver,4,1.01,
BDP,Autres c‚r‚ales,Bl‚ dur de printemps,4,1.01,
BDT,Autres c‚r‚ales,Bl‚ dur de printemps sem‚ tardivement (aprŠs le 31/05),4,1.01,
CAG,Autres c‚r‚ales,Autre c‚r‚ale d'un autre genre,4,1.90,#indef
CGF,Autres c‚r‚ales,Autre c‚r‚ale de genre Fagopyrum,4,1.10,
CGH,Autres c‚r‚ales,Autre c‚r‚ale de genre Phalaris,4,1.13,
CGO,Autres c‚r‚ales,Autre c‚r‚ale de genre Sorghum,4,1.04,
CGP,Autres c‚r‚ales,Autre c‚r‚ale de genre Panicum,4,1.08,
CGS,Autres c‚r‚ales,Autre c‚r‚ale de genre Setaria,4,1.08,
CHA,Autres c‚r‚ales,Autre c‚r‚ale d'hiver de genre Avena,4,1.07,
CHH,Autres c‚r‚ales,Autre c‚r‚ale d'hiver de genre Hordeum,4,1.05,
CHS,Autres c‚r‚ales,Autre c‚r‚ale d'hiver de genre Secale,4,1.06,
CHT,Autres c‚r‚ales,Autre c‚r‚ale d'hiver de genre Triticum,4,1.09,
CPA,Autres c‚r‚ales,Autre c‚r‚ale de printemps de genre Avena,4,1.07,
CPH,Autres c‚r‚ales,Autre c‚r‚ale de printemps de genre Hordeum,4,1.05,
CPS,Autres c‚r‚ales,Autre c‚r‚ale de printemps de genre Secale,4,1.06,
CPT,Autres c‚r‚ales,Autre c‚r‚ale de printemps de genre Triticum,4,1.09,
CPZ,Autres c‚r‚ales,Autre c‚r‚ale de printemps de genre Zea,4,1.02,
EPE,Autres c‚r‚ales,peautre,4,1.01,1.01 1.90
MCR,Autres c‚r‚ales,M‚lange de c‚r‚ales,4,1.14,
MLT,Autres c‚r‚ales,Millet,4,1.08,
SGH,Autres c‚r‚ales,Seigle d'hiver,4,1.06,
SGP,Autres c‚r‚ales,Seigle de printemps,4,1.06,
SOG,Autres c‚r‚ales,Sorgho,4,1.04,
SRS,Autres c‚r‚ales,Sarrasin,4,1.10,
TTH,Autres c‚r‚ales,Triticale d'hiver,4,1.09,
TTP,Autres c‚r‚ales,Triticale de printemps,4,1.09,
CZH,Colza,Colza d'hiver,5,4.03.05,
CZP,Colza,Colza de printemps,5,4.03.05,
TRN,Tournesol,Tournesol,6,4.03.08,
ARA,Autres ol‚agineux,Arachide,7,4.02,
LIH,Autres ol‚agineux,Lin non textile d'hiver,7,4.03.02,
LIP,Autres ol‚agineux,Lin non textile de printemps,7,4.03.02,
MOL,Autres ol‚agineux,M‚lange d'ol‚agineux,7,4.03.90,
NVE,Autres ol‚agineux,Navette d'‚t‚,7,4.03.05 4.03.90,#indef
NVH,Autres ol‚agineux,Navette d'hiver,7,4.03.05 4.03.90,#indef
OAG,Autres ol‚agineux,Autre ol‚agineux d'un autre genre,7,4.03.90,
OEH,Autres ol‚agineux,Autre ol‚agineux d'espŠce Helianthus,7,4.03.08 4.03.90,#indef
OEI,Autres ol‚agineux,?illette,7,4.03.12,
OHN,Autres ol‚agineux,Autre ol‚agineux d'hiver d'espŠce Brassica napus,7,4.03.05,
OHR,Autres ol‚agineux,Autre ol‚agineux d'hiver d'espŠce Brassica rapa,7,4.03.05 4.03.90,#indef
OPN,Autres ol‚agineux,Autre ol‚agineux de printemps d'espŠce Brassica napus,7,4.03.05,
OPR,Autres ol‚agineux,Autre ol‚agineux de printemps d'espŠce Brassica rapa,7,4.03.05 4.03.90,#indef
SOJ,Autres ol‚agineux,Soja,7,4.01,
FEV,Prot‚agineux,FŠve,8,7.02,
FVL,Prot‚agineux,F‚verole sem‚e avant le 31/05,8,7.02,
FVT,Prot‚agineux,F‚verole sem‚e tardivement (aprŠs le 31/05),8,7.02,
LDH,Prot‚agineux,Lupin doux d'hiver,8,7.06,
LDP,Prot‚agineux,Lupin doux de printemps sem‚ avant le 31/05,8,7.06,
LDT,Prot‚agineux,Lupin doux de printemps sem‚ tardivement (aprŠs le 31/05),8,7.06,
MPC,Prot‚agineux,M‚lange de prot‚agineux (pois et/ou lupin et/ou f‚verole) pr‚pond‚rants sem‚s avant le 31/05 et de c‚r‚ales,8,7.90 7,
MPP,Prot‚agineux,M‚lange de prot‚agineux (pois et/ou lupin et/ou f‚verole),8,7.90 7,
MPT,Prot‚agineux,M‚lange de prot‚agineux sem‚s tardivement (aprŠs le 31/05),8,7.90 7,
PAG,Prot‚agineux,Autre prot‚agineux d'un autre genre,8,7.90,
PHI,Prot‚agineux,Pois d'hiver,8,7.07,
PPR,Prot‚agineux,Pois de printemps sem‚ avant le 31/05,8,7.07,
PPT,Prot‚agineux,Pois de printemps sem‚ tardivement (aprŠs le 31/05),8,7.07,
CHV,Plantes … fibres,Chanvre,9,9.02.01.05,
CSE,Plantes … fibres,Chanvre sans ‚tiquette conforme,9,9.02.01.05,
LIF,Plantes … fibres,Lin fibres,9,9.02.01.04,
J5M,Gel (surfaces gel‚es sans production),JachŠre de 5 ans ou moins,11,9.01,#indef
J6P,Gel (surfaces gel‚es sans production),JachŠre de 6 ans ou plus,11,9.01,#indef
J6S,Gel (surfaces gel‚es sans production),JachŠre de 6 ans ou plus d‚clar‚e comme Surface d'int‚rˆt ‚cologique,11,9.01,#indef
JNO,Gel (surfaces gel‚es sans production),JachŠre noire,11,9.01,#indef
RIZ,Riz,Riz,14,1.03,
LEC,L‚gumineuses … grains,Lentille cultiv‚e (non fourragŠre),15,7.05,
PCH,L‚gumineuses … grains,Pois chiche,15,7.03,
BVF,Fourrage,Betterave fourragŠre,16,8.01,
CAF,Fourrage,Carotte fourragŠre,16,2.03.01,
CHF,Fourrage,Chou fourrager,16,2.01.03,
CPL,Fourrage,Fourrage compos‚ de c‚r‚ales et/ou de prot‚agineux (en proportion <ÿ50%) et/ou de l‚gumineuses fourragŠres (en proportion < 50%),16,,#indef
DTY,Fourrage,Dactyle de 5 ans ou moins,16,9.01.01,
FAG,Fourrage,Autre fourrage annuel d'un autre genre,16,,#indef
FET,Fourrage,F‚tuque de 5 ans ou moins,16,9.01.01,
FF5,Fourrage,F‚verole fourragŠre implant‚e pour la r‚colte 2015,16,7.02,
FF6,Fourrage,F‚verole fourragŠre implant‚e pour la r‚colte 2016,16,7.02,
FF7,Fourrage,F‚verole fourragŠre implant‚e pour la r‚colte 2017,16,7.02,
FF8,Fourrage,F‚verole fourragŠre implant‚e pour la r‚colte 2018,16,7.02,
FFO,Fourrage,Autre f‚verole fourragŠre,16,7.02,
FLO,Fourrage,Fl‚ole de 5 ans ou moins,16,9.01.01,
FSG,Fourrage,Autre plante fourragŠre sarcl‚e d'un autre genre,16,2.01 2.03,
GAI,Fourrage,Gaillet,16,9.01.01,
GES,Fourrage,Gesse,16,7.10ÿ 7.90,
GFP,Fourrage,Autre gramin‚e fourragŠre pure de 5 ans ou moins,16,9.01.01,
JO5,Fourrage,Jarosse implant‚e pour la r‚colte 2015,16,7.10ÿ 7.90,
JO6,Fourrage,Jarosse implant‚e pour la r‚colte 2016,16,7.10ÿ 7.90,
JO7,Fourrage,Jarosse implant‚e pour la r‚colte 2017,16,7.10ÿ 7.90,
JO8,Fourrage,Jarosse implant‚e pour la r‚colte 2018,16,7.10ÿ 7.90,
JOD,Fourrage,Jarosse d‚shydrat‚e,16,7.10ÿ 7.90,
JOS,Fourrage,Autre jarosse,16,7.10ÿ 7.90,
LEF,Fourrage,Lentille fourragŠre,16,7.05,
LFH,Fourrage,Autre lupin fourrager d'hiver,16,7.06,
LFP,Fourrage,Autre lupin fourrager de printemps,16,7.06,
LH5,Fourrage,Lupin fourrager d'hiver implant‚ pour la r‚colte 2015,16,7.06,
LH6,Fourrage,Lupin fourrager d'hiver implant‚ pour la r‚colte 2016,16,7.06,
LH7,Fourrage,Lupin fourrager d'hiver implant‚ pour la r‚colte 2017,16,7.06,
LH8,Fourrage,Lupin fourrager d'hiver implant‚ pour la r‚colte 2018,16,7.06,
LO7,Fourrage,Lotier implant‚ pour la r‚colte 2017,16,9.01.01,
LO8,Fourrage,Lotier implant‚ pour la r‚colte 2018,16,9.01.01,
LOT,Fourrage,Lotier,16,9.01.01,
LP5,Fourrage,Lupin fourrager de printemps implant‚ pour la r‚colte 2015,16,7.06,
LP6,Fourrage,Lupin fourrager de printemps implant‚ pour la r‚colte 2016,16,7.06,
LP7,Fourrage,Lupin fourrager de printemps implant‚ pour la r‚colte 2017,16,7.06,
LP8,Fourrage,Lupin fourrager de printemps implant‚ pour la r‚colte 2018,16,7.06,
LU5,Fourrage,Luzerne implant‚e pour la r‚colte 2015,16,9.01.01,
LU6,Fourrage,Luzerne implant‚e pour la r‚colte 2016,16,9.01.01,
LU7,Fourrage,Luzerne implant‚e pour la r‚colte 2017,16,9.01.01,
LU8,Fourrage,Luzerne implant‚e pour la r‚colte 2018,16,9.01.01,
LUD,Fourrage,Luzerne d‚shydrat‚e,16,9.01.01,
LUZ,Fourrage,Autre luzerne,16,9.01.01,
MC5,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2015 et de c‚r‚ales,16,7.90,
MC6,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2016 et de c‚r‚ales,16,7.90,
MC7,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2017 et de c‚r‚ales,16,7.90,
MC8,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes implant‚es pour la r‚colte 2018 et de c‚r‚ales et d'ol‚agineux,16,7.90,
ME5,Fourrage,M‚lilot implant‚ pour la r‚colte 2015,16,9.01.01,
ME6,Fourrage,M‚lilot implant‚ pour la r‚colte 2016,16,9.01.01,
ME7,Fourrage,M‚lilot implant‚ pour la r‚colte 2017,16,9.01.01,
ME8,Fourrage,M‚lilot implant‚ pour la r‚colte 2018,16,9.01.01,
MED,Fourrage,M‚lilot d‚shydrat‚,16,9.01.01,
MEL,Fourrage,Autre m‚lilot,16,9.01.01,
MH5,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2015 et d'herbac‚es ou de gramin‚es fourragŠres,16,7.90,
MH6,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2016 et d'herbac‚es ou de gramin‚es fourragŠres,16,7.90,
MH7,Fourrage,M‚lange de l‚gumineuses fourragŠres pr‚pond‚rantes au semis implant‚es pour la r‚colte 2017 et d'herbac‚es ou de gramin‚es fourragŠres,16,7.90,
MI7,Fourrage,Minette implant‚ pour la r‚colte 2017,16,9.01.01,
MI8,Fourrage,Minette implant‚ pour la r‚colte 2018,16,9.01.01,
MIN,Fourrage,Minette,16,9.01.01,
ML5,Fourrage,M‚lange de l‚gumineuses fourragŠres implant‚es pour la r‚colte 2015 (entre elles),16,7.90,
ML6,Fourrage,M‚lange de l‚gumineuses fourragŠres implant‚es pour la r‚colte 2016 (entre elles),16,7.90,
ML7,Fourrage,M‚lange de l‚gumineuses fourragŠres implant‚es pour la r‚colte 2017 (entre elles),16,7.90,
ML8,Fourrage,M‚lange de l‚gumineuses fourragŠres implant‚es pour la r‚colte 2018 (entre elles),16,7.90,
