ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,GROUP_FR_filtered,CROPS_FR_filtered,match,max_match,ID_GROUP_ICC,sim
BTH,Blé tendre,Blé tendre d’hiver,1,Blé tendre,Blé tendre dhiver,[],[],,
BTP,Blé tendre,Blé tendre de printemps,1,Blé tendre,Blé tendre de printemps,[],[],,
MID,Maïs grain et ensilage,Maïs doux,2,Maïs grain ensilage,Maïs doux,[],[],,
MIE,Maïs grain et ensilage,Maïs ensilage,2,Maïs grain ensilage,Maïs ensilage,[],[],,
MIS,Maïs grain et ensilage,Maïs,2,Maïs grain ensilage,Maïs,"[['CROPS_FR', 'MIS', 'Maïs', 'Maïs', 1, 100.0]]","['CROPS_FR', 'MIS', 'Maïs', 'Maïs', 1, 100.0]",1.0,100.0
ORH,Orge,Orge d'hiver,3,Orge,Orge dhiver,"[['GROUP_FR', 3, 'Orge', 'Orge', 1, 100.0]]","['GROUP_FR', 3, 'Orge', 'Orge', 1, 100.0]",1.0,100.0
ORP,Orge,Orge de printemps,3,Orge,Orge de printemps,"[['GROUP_FR', 3, 'Orge', 'Orge', 1, 100.0]]","['GROUP_FR', 3, 'Orge', 'Orge', 1, 100.0]",1.0,100.0
AVH,Autres céréales,Avoine d’hiver,4,céréales,Avoine dhiver,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
AVP,Autres céréales,Avoine de printemps,4,céréales,Avoine de printemps,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
BDH,Autres céréales,Blé dur d’hiver,4,céréales,Blé dur dhiver,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
BDP,Autres céréales,Blé dur de printemps,4,céréales,Blé dur de printemps,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
BDT,Autres céréales,Blé dur de printemps semé tardivement (après le 31/05),4,céréales,Blé dur de printemps semé tardivement,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CAG,Autres céréales,Autre céréale d’un autre genre,4,céréales,céréale dun genre,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CGF,Autres céréales,Autre céréale de genre Fagopyrum,4,céréales,céréale de genre Fagopyrum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CGH,Autres céréales,Autre céréale de genre Phalaris,4,céréales,céréale de genre Phalaris,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CGO,Autres céréales,Autre céréale de genre Sorghum,4,céréales,céréale de genre Sorghum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CGP,Autres céréales,Autre céréale de genre Panicum,4,céréales,céréale de genre Panicum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CGS,Autres céréales,Autre céréale de genre Setaria,4,céréales,céréale de genre Setaria,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CHA,Autres céréales,Autre céréale d’hiver de genre Avena,4,céréales,céréale dhiver de genre Avena,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CHH,Autres céréales,Autre céréale d’hiver de genre Hordeum,4,céréales,céréale dhiver de genre Hordeum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CHS,Autres céréales,Autre céréale d’hiver de genre Secale,4,céréales,céréale dhiver de genre Secale,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CHT,Autres céréales,Autre céréale d’hiver de genre Triticum,4,céréales,céréale dhiver de genre Triticum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CPA,Autres céréales,Autre céréale de printemps de genre Avena,4,céréales,céréale de printemps de genre Avena,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CPH,Autres céréales,Autre céréale de printemps de genre Hordeum,4,céréales,céréale de printemps de genre Hordeum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CPS,Autres céréales,Autre céréale de printemps de genre Secale,4,céréales,céréale de printemps de genre Secale,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CPT,Autres céréales,Autre céréale de printemps de genre Triticum,4,céréales,céréale de printemps de genre Triticum,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
CPZ,Autres céréales,Autre céréale de printemps de genre Zea,4,céréales,céréale de printemps de genre Zea,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
EPE,Autres céréales,Épeautre,4,céréales,Épe,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
MCR,Autres céréales,Mélange de céréales,4,céréales,Mélange de céréales,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
MLT,Autres céréales,Millet,4,céréales,Millet,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0], ['CROPS_FR', 'MLT', 'Millet', 'Millet', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
SGH,Autres céréales,Seigle d’hiver,4,céréales,Seigle dhiver,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
SGP,Autres céréales,Seigle de printemps,4,céréales,Seigle de printemps,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
SOG,Autres céréales,Sorgho,4,céréales,Sorgho,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0], ['CROPS_FR', 'SOG', 'Sorgho', 'Sorgho', 1, 100.0], ['CROPS_FR', 'SOG', 'Sorgho', 'Sorgho doux', 8, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
SRS,Autres céréales,Sarrasin,4,céréales,Sarrasin,"[['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0], ['CROPS_FR', 'SRS', 'Sarrasin', 'Sarrasin', 1, 100.0]]","['GROUP_FR', 4, 'céréales', 'céréales', 1, 100.0]",1.0,100.0
