class_level_src,id_src, words_src,words_trg,id_trg,similarity
GROUP_FR,1,Blé tendre,Blé,1,100
GROUP_FR,2,Maïs grainensilage,Maïs,1,100
GROUP_FR,3,Orge,Orge,1,100
GROUP_FR,4,céréales,Céréales,1,100
GROUP_FR,4,céréales,Céréales mélangées,1,100
GROUP_FR,4,céréales,céréales,1,100
GROUP_FR,5,Colza,Colza,4,100
GROUP_FR,6,Tournesol,Tournesol,4,100
GROUP_FR,7,oléagineux,Fruits oléagineux,4,100
GROUP_FR,7,oléagineux,oléagineux temporaire,4,100
GROUP_FR,7,oléagineux,oléagineux temporaire,4,100
GROUP_FR,7,oléagineux,Oléagineux permanent,4,100
GROUP_FR,7,oléagineux,fruits oléagineux,4,100
GROUP_FR,9,Plantes à fibres,Fibres,9,100
GROUP_FR,14,Riz,Riz,1,100
GROUP_FR,15,Légumineuses à grains,Légumineuses,7,100
GROUP_FR,15,Légumineuses à grains,Légumineuses,7,100
GROUP_FR,16,Fourrage,Fourrage de graminées,9,100
GROUP_FR,16,Fourrage,Fourrage temporaire d'herbe,9,100
GROUP_FR,16,Fourrage,Fourrage permanent à base d'herbe,9,100
GROUP_FR,22,Fruits à coque,Fruits à coque,3,100
GROUP_FR,22,Fruits à coque,fruits,3,100
GROUP_FR,26,Canne à sucre,Sucre,8,100
GROUP_FR,26,Canne à sucre,Canne à sucre,8,100
GROUP_FR,26,Canne à sucre,sucre,8,100
CROPS_FR,BTH,Blé tendre dhiver,Blé,1,100
CROPS_FR,BTP,Blé tendre de printemps,Blé,1,100
CROPS_FR,MID,Maïs doux,Maïs,1,100
CROPS_FR,MIE,Maïs ensilage,Maïs,1,100
CROPS_FR,MIS,Maïs,Maïs,1,100
CROPS_FR,ORH,Orge dhiver,Orge,1,100
CROPS_FR,ORP,Orge de printemps,Orge,1,100
CROPS_FR,AVH,Avoine dhiver,Avoine,1,100
CROPS_FR,AVP,Avoine de printemps,Avoine,1,100
CROPS_FR,BDH,Blé dur dhiver,Blé,1,100
CROPS_FR,BDP,Blé dur de printemps,Blé,1,100
CROPS_FR,BDT,Blé dur de printemps semé tardivement après le 3105,Blé,1,100
CROPS_FR,MCR,Mélange de céréales,Céréales,1,100
CROPS_FR,MCR,Mélange de céréales,céréales,1,100
CROPS_FR,MLT,Millet,Millet,1,100
CROPS_FR,SGH,Seigle dhiver,Seigle,1,100
CROPS_FR,SGP,Seigle de printemps,Seigle,1,100
CROPS_FR,SOG,Sorgho,Sorgho,1,100
CROPS_FR,SOG,Sorgho,Sorgho doux,8,100
CROPS_FR,SRS,Sarrasin,Sarrasin,1,100
CROPS_FR,TTH,Triticale dhiver,Triticale,1,100
CROPS_FR,TTP,Triticale de printemps,Triticale,1,100
CROPS_FR,CZH,Colza dhiver,Colza,4,100
CROPS_FR,CZP,Colza de printemps,Colza,4,100
CROPS_FR,TRN,Tournesol,Tournesol,4,100
CROPS_FR,LIH,Lin non textile dhiver,Lin,9,100
CROPS_FR,LIP,Lin non textile de printemps,Lin,9,100
CROPS_FR,SOJ,Soja,Fèves de soja,4,100
CROPS_FR,LDH,Lupin doux dhiver,Lupin,7,100
CROPS_FR,LDP,Lupin doux de printemps semé avant le 3105,Lupin,7,100
CROPS_FR,LDT,Lupin doux de printemps semé tardivement après le 3105,Lupin,7,100
CROPS_FR,MPC,Mélange de protéagineux pois etou lupin etou féverole prépondérants semés avant le 3105de céréales,Céréales,1,100
CROPS_FR,MPC,Mélange de protéagineux pois etou lupin etou féverole prépondérants semés avant le 3105de céréales,céréales,1,100
CROPS_FR,MPC,Mélange de protéagineux pois etou lupin etou féverole prépondérants semés avant le 3105de céréales,Lupin,7,100
CROPS_FR,MPC,Mélange de protéagineux pois etou lupin etou féverole prépondérants semés avant le 3105de céréales,Pois,7,100
CROPS_FR,MPP,Mélange de protéagineux pois etou lupin etou féverole,Lupin,7,100
CROPS_FR,MPP,Mélange de protéagineux pois etou lupin etou féverole,Pois,7,100
CROPS_FR,PHI,Pois dhiver,Pois,7,100
CROPS_FR,PPR,Pois de printemps semé avant le 3105,Pois,7,100
CROPS_FR,PPT,Pois de printemps semé tardivement après le 3105,Pois,7,100
CROPS_FR,CHV,Chanvre,Chanvre,9,100
CROPS_FR,CSE,Chanvre sans étiquette conforme,Chanvre,9,100
CROPS_FR,LIF,Lin fibres,Fibres,9,100
CROPS_FR,LIF,Lin fibres,Lin,9,100
CROPS_FR,RIZ,Riz,Riz,1,100
CROPS_FR,PCH,Pois chiche,Pois,7,100
CROPS_FR,CPL,Fourrage composé de céréales etou de protéagineux en proportion  50 etou de légumineuses fourragères en proportion 50,Céréales,1,100
CROPS_FR,CPL,Fourrage composé de céréales etou de protéagineux en proportion  50 etou de légumineuses fourragères en proportion 50,céréales,1,100
CROPS_FR,CPL,Fourrage composé de céréales etou de protéagineux en proportion  50 etou de légumineuses fourragères en proportion 50,Légumineuses,7,100
CROPS_FR,CPL,Fourrage composé de céréales etou de protéagineux en proportion  50 etou de légumineuses fourragères en proportion 50,Légumineuses,7,100
CROPS_FR,LFH,lupin fourrager dhiver,Lupin,7,100
CROPS_FR,LFP,lupin fourrager de printemps,Lupin,7,100
CROPS_FR,LH5,Lupin fourrager dhiver implanté pour la récolte 2015,Lupin,7,100
CROPS_FR,LH6,Lupin fourrager dhiver implanté pour la récolte 2016,Lupin,7,100
CROPS_FR,LH7,Lupin fourrager dhiver implanté pour la récolte 2017,Lupin,7,100
CROPS_FR,LH8,Lupin fourrager dhiver implanté pour la récolte 2018,Lupin,7,100
CROPS_FR,LP5,Lupin fourrager de printemps implanté pour la récolte 2015,Lupin,7,100
CROPS_FR,LP6,Lupin fourrager de printemps implanté pour la récolte 2016,Lupin,7,100
CROPS_FR,LP7,Lupin fourrager de printemps implanté pour la récolte 2017,Lupin,7,100
CROPS_FR,LP8,Lupin fourrager de printemps implanté pour la récolte 2018,Lupin,7,100
CROPS_FR,MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015de céréales,Céréales,1,100
CROPS_FR,MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015de céréales,céréales,1,100
CROPS_FR,MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015de céréales,Légumineuses,7,100
CROPS_FR,MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015de céréales,Légumineuses,7,100
CROPS_FR,MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016de céréales,Céréales,1,100
CROPS_FR,MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016de céréales,céréales,1,100
CROPS_FR,MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016de céréales,Légumineuses,7,100
CROPS_FR,MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016de céréales,Légumineuses,7,100
CROPS_FR,MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017de céréales,Céréales,1,100
CROPS_FR,MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017de céréales,céréales,1,100
CROPS_FR,MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017de céréales,Légumineuses,7,100
CROPS_FR,MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017de céréales,Légumineuses,7,100
