,code,broader,label_en,label_fr
0,1,,Cereals,Céréales
1,1.01,1,Wheat,Blé
2,1.02,1,Maize,Maïs
3,1.03,1,Rice,Riz
4,1.04,1,Sorghum,Sorgho
5,1.05,1,Barley,Orge
6,1.06,1,Rye,Seigle
7,1.07,1,Oats,Avoine
8,1.08,1,Millet,Millet
9,1.09,1,Triticale,Triticale
10,1.1,1,Buckwheat,Sarrasin
11,1.11,1,Fonio,Fonio
12,1.12,1,Quinoa,Quinoa
13,1.13,1,Canary seed,Graine de canari
14,1.14,1,Mixed cereals,Céréales mélangées
15,1.9,1,"Other cereals, n.e.c.","Autres céréales, n.c.a."
16,2,,Vegetables and melons,Légumes et melons
17,2.01,2,Leafy or stem vegetables,Légumes à feuilles ou à tiges
18,2.01.01,2.01,Artichokes,Artichauts
19,2.01.02,2.01,Asparagus,Asperges
20,2.01.03,2.01,Cabbages,Choux
21,2.01.04,2.01,Cauliflower and broccoli,Chou-fleur et brocoli
22,2.01.05,2.01,Lettuce,Laitue
23,2.01.06,2.01,Spinach,Epinards
24,2.01.07,2.01,Chicory,Chicorée
25,2.01.90,2.01,"Other leafy or stem vegetables, n.e.c.","Autres légumes à feuilles ou à tiges, n.c.a."
26,2.02,2,Fruit-bearing vegetables,Légumes à fruits
27,2.02.01,2.02,Cucumbers,Concombres
28,2.02.02,2.02,Eggplants (aubergines),Eggplants (aubergines)
29,2.02.03,2.02,Tomatoes,Tomates
30,2.02.04,2.02,"Pumpkin, squash and gourds","Citrouille, courge et gourde"
31,2.02.05,2.02,Okra,Gombo
32,2.02.90,2.02,"Other fruit-bearing vegetables, n.e.c.","Autres légumes-fruits, n.c.a."
33,2.03,2,"Root, bulb or tuberous vegetables","Légumes-racines, bulbes ou tubercules"
34,2.03.01,2.03,Carrots,Carottes
35,2.03.02,2.03,Turnips,Navets
36,2.03.03,2.03,Garlic,Ail
37,2.03.04,2.03,Onions (incl. shallots),Oignons (y compris les échalotes)
38,2.03.05,2.03,Leeks and other alliaceous vegetables,Poireaux et autres légumes alliacés
39,2.03.90,2.03,"Other root, bulb, or tuberous vegetables, n.e.c.","Autres légumes-racines, bulbes ou tubercules, n.c.a."
40,2.04,2,Mushrooms and truffles,Champignons et truffes
41,2.05,2,Melons,Melons
