"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1.0,1,Cereals,11.0,Wheat,,,,
1.0,1,Cereals,12.0,Maize,,,,
1.0,1,Cereals,13.0,Rice,,,,
1.0,1,Cereals,14.0,Sorghum,,,,
1.0,1,Cereals,15.0,Barley,,,,
1.0,1,Cereals,16.0,Rye,,,,
1.0,1,Cereals,17.0,Oats,,,,
1.0,1,Cereals,18.0,Millets,,,,
1.0,1,Cereals,19.0,"Other cereals, n.e.c",191.0,Mixed cereals,,
1.0,1,Cereals,19.0,"Other cereals, n.e.c",192.0,Other,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,211.0,Artichokes,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,212.0,Asparagus,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,213.0,Cabbages,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,214.0,Cauliflowers & broccoli,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,215.0,Lettuce,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,216.0,Spinach,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,217.0,Chicory,,
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,219.0,"Other leafy or stem vegetables, n.e.c.",,
1.0,2,Vegetables and melons,21.0,Fruit-bearing vegetables,221.0,Cucumbers,,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,222.0,Eggplants (aubergines),,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,223.0,Tomatoes,,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,224.0,Watermelons,,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,225.0,Cantaloupes and other melons,,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,226.0,"Pumpkin, squash and gourds",,
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,229.0,"Other fruit-bearing vegetables, n.e.c.",,
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",231.0,Carrots,,
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",232.0,Turnips,,
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",233.0,Garlic,,
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",234.0,Onions (incl. shallots),,
,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",235.0,Leeks & other alliaceous vegetables,,
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",239.0,"Other root, bulb, or tuberous vegetables, n.e.c.",,
1.0,2,Vegetables and melons,24.0,Mushrooms and truffles,,,,
1.0,2,Vegetables and melons,29.0,"Vegetables, n.e.c",,,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,311.0,Avocados,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,312.0,Bananas & plantains,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,313.0,Dates,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,314.0,Figs,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,315.0,Mangoes,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,316.0,Papayas,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,317.0,Pineapples,,
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,319.0,"Other tropical and subtropical fruits, n.e.c.",,
2.0,3,Fruit and nuts,32.0,Citrus fruits,321.0,Grapefruit & pomelo,,
2.0,3,Fruit and nuts,32.0,Citrus fruits,322.0,Lemons and Limes,,
2.0,3,Fruit and nuts,32.0,Citrus fruits,323.0,Oranges,,
2.0,3,Fruit and nuts,32.0,Citrus fruits,324.0,"Tangerines, mandarins, clementines",,
2.0,3,Fruit and nuts,32.0,Citrus fruits,329.0,"Other citrus fruit, n.e.c.",,
2.0,3,Fruit and nuts,33.0,Grapes,,,,
2.0,3,Fruit and nuts,34.0,Berries,341.0,Currants,,
2.0,3,Fruit and nuts,34.0,Berries,342.0,Gooseberries,,
2.0,3,Fruit and nuts,34.0,Berries,343.0,Kiwi fruit,,
2.0,3,Fruit and nuts,34.0,Berries,344.0,Raspberries,,
2.0,3,Fruit and nuts,34.0,Berries,345.0,Strawberries,,
,3,Fruit and nuts,34.0,Berries,346.0,Blueberries,,
2.0,3,Fruit and nuts,34.0,Berries,349.0,Other berries,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,351.0,Apples,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,352.0,Apricots,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,353.0,Cherries & sour cherries,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,354.0,Peaches & nectarines,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,355.0,Pears & quinces,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,356.0,Plums and sloes,,
2.0,3,Fruit and nuts,35.0,Pome fruits and stone fruits,359.0,"Other pome fruits and stone fruits, n.e.c.",,
2.0,3,Fruit and nuts,36.0,Nuts,361.0,Almonds,,
2.0,3,Fruit and nuts,36.0,Nuts,362.0,Cashew nuts,,
2.0,3,Fruit and nuts,36.0,Nuts,363.0,Chestnuts,,
2.0,3,Fruit and nuts,36.0,Nuts,364.0,Hazelnuts,,
2.0,3,Fruit and nuts,36.0,Nuts,365.0,Pistachios,,
2.0,3,Fruit and nuts,36.0,Nuts,366.0,Walnuts,,
2.0,3,Fruit and nuts,36.0,Nuts,369.0,Other nuts n.e.c.,,
2.0,3,Fruit and nuts,39.0,"Other fruits, n.e.c",,,,
1.0,4,Oilseed crops,41.0,Soya beans,,,,
1.0,4,Oilseed crops,42.0,Groundnuts,,,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,431.0,Castor bean,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,432.0,Linseed,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,433.0,Mustard,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,434.0,Niger seed,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,435.0,Rapeseed,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,436.0,Safflower,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,437.0,Sesame,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,438.0,Sunflower,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,439.0,"Other temporary oilseed crops, n.e.c.",,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,441.0,Coconuts,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,442.0,Olives,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,443.0,Oil palms,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,449.0,"Other oleaginous fruits, n.e.c.",,
1.0,5,Root/tuber crops with high starch or inulin content,,Root/tuber crops with high starch or inulin content,,,,
1.0,5,Root/tuber crops with high starch or inulin content,51.0,Potatoes,,,,
1.0,5,Root/tuber crops with high starch or inulin content,52.0,Sweet potatoes,,,,
1.0,5,Root/tuber crops with high starch or inulin content,53.0,Cassava,,,,
1.0,5,Root/tuber crops with high starch or inulin content,54.0,Yams,,,,
1.0,5,Root/tuber crops with high starch or inulin content,59.0,"Other roots & tubers, n.e.c",,,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,611.0,Coffee,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,612.0,Tea,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,613.0,Maté,,
