"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1.0,1,Cereals,11.0,Wheat,,NULL,,NULL
1.0,1,Cereals,12.0,Maize,,NULL,,NULL
1.0,1,Cereals,13.0,Rice,,NULL,,NULL
1.0,1,Cereals,14.0,Sorghum,,NULL,,NULL
1.0,1,Cereals,15.0,Barley,,NULL,,NULL
1.0,1,Cereals,16.0,Rye,,NULL,,NULL
1.0,1,Cereals,17.0,Oats,,NULL,,NULL
1.0,1,Cereals,18.0,Millets,,NULL,,NULL
1.0,1,Cereals,19.0,"Other cereals, n.e.c",191.0,Mixed cereals,,NULL
1.0,1,Cereals,19.0,"Other cereals, n.e.c",192.0,Other,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,211.0,Artichokes,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,212.0,Asparagus,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,213.0,Cabbages,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,214.0,Cauliflowers & broccoli,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,215.0,Lettuce,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,216.0,Spinach,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,217.0,Chicory,,NULL
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,219.0,"Other leafy or stem vegetables, n.e.c.",,NULL
1.0,2,Vegetables and melons,21.0,Fruit-bearing vegetables,221.0,Cucumbers,,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,222.0,Eggplants (aubergines),,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,223.0,Tomatoes,,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,224.0,Watermelons,,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,225.0,Cantaloupes and other melons,,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,226.0,"Pumpkin, squash and gourds",,NULL
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,229.0,"Other fruit-bearing vegetables, n.e.c.",,NULL
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",231.0,Carrots,,NULL
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",232.0,Turnips,,NULL
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",233.0,Garlic,,NULL
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",234.0,Onions (incl. shallots),,NULL
,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",235.0,Leeks & other alliaceous vegetables,,NULL
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",239.0,"Other root, bulb, or tuberous vegetables, n.e.c.",,NULL
1.0,2,Vegetables and melons,24.0,Mushrooms and truffles,,NULL,,NULL
1.0,2,Vegetables and melons,29.0,"Vegetables, n.e.c",,NULL,,NULL
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,311.0,Avocados,,NULL
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,312.0,Bananas & plantains,,NULL
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,313.0,Dates,,NULL
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,314.0,Figs,,NULL
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,315.0,Mangoes,,NULL
