CROPS_WL,ID_CROPS_WL,GROUP_WL,ID_GROUP_WL,ICC1.1,ICC_REM
Avoine d'hiver,341,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.07,
Avoine de printemps,342,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.07,
Epeautre,36,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,#indef,1.01 1.90
Froment d'hiver,311,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.01,
Froment de printemps,312,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.01,
Ma‹s ensilage,201,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.02,
Ma‹s grain,202,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.02,
C‚r‚ales + l‚gumineuses*,39,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,#indef,1.90
Orge d'hiver,321,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.05,
Orge de printemps,322,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.05,
Orge de brasserie,323,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.05,
Sarrasin,37,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.10,
Seigle d'hiver,331,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.06,
Seigle de printemps,332,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.06,
Triticale d'hiver,351,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.09,
Triticale de printemps,352,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.09,
Sorgho,381,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.04,
Quinoa,382,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,1.12,
Cultures fruitiŠres annuelles - Fraises,9516,CULTURES HORTICOLES,CULTURES HORTICOLES,3.04.05,
Cultures fruitiŠres annuelles - Framboises,9717,CULTURES HORTICOLES,CULTURES HORTICOLES,3.04.04,
Cultures fruitiŠre pluriannuelles-hautes tiges ( de 50 … 250 arbres/ha)*,9742,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,3.04
Cultures fruitiŠre pluriannuelles-basses tiges ( plus de 250 arbres /ha)*,9741,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,3.05
Cultures permanentes sous serre*,885,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,
Cultures horticoles non-comestibles*,96,CULTURES HORTICOLES,CULTURES HORTICOLES,9.05,
Autres l‚gumes plein air,951,CULTURES HORTICOLES,CULTURES HORTICOLES,2.90,
Autres plantes ornementales de plein air,954,CULTURES HORTICOLES,CULTURES HORTICOLES,9.05,
Autres plantes ornementales sous serre,958,CULTURES HORTICOLES,CULTURES HORTICOLES,9.05,
Autres cultures de l‚gumes sous serre,9521,CULTURES HORTICOLES,CULTURES HORTICOLES,2.90,
Asperges (consommation au frais),9511,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.02,
Asperges (transformation industrielle),8511,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.02,
Brocolis (consommation au frais),9525,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.04,
Brocoli (transformation industrielle),8525,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.04,
Carotte (non hƒtive) (consommation) (transformation industrielle),8535,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.01,
Carotte (hƒtive)(consommation) (transformation industrielle),8564,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.01,
Carotte ( non hƒtive) (consommation au frais),9535,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.01,
Carotte ( hƒtive) (consommation au frais),9564,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.01,
C‚leri-rave (transformation industrielle),8543,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
C‚leri-branche ( transformation industrielle),8551,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
C‚leri … c“tes ( transformation industrielle),8539,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
C‚leri-rave (consommation au frais),9543,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
C‚leri vert ( transformation industrielle),8548,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
Cerfeuil (consommation au frais),960,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.90,
Cerfeuil ( transformation industrielle),860,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.90,
Champignons,9536,CULTURES HORTICOLES,CULTURES HORTICOLES,2.04,
Choux-rave (consommation au frais),9529,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Choux-rave (transformation industrielle),8529,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou de Bruxelles (transformation industrielle),8512,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
Chou de Bruxelles (consommation au frais),9512,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
Chou-fleur (transformation industrielle),8523,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.04,
Chou-fleur (consommation au frais),9523,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.04,
Choux - l‚gumes/C‚leri vert (consommation au frais),9548,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Choux rouge (consommation au frais),9527,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Choux rouge (transformation industrielle),8527,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou blanc (transformation industrielle),8540,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou blanc (consommation au frais),9540,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou fris‚ (transformation industrielle),8524,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou de Milan ( transformation industrielle),8546,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Chou chinois,8526,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.03,
Courgettes ( consommation au frais),9541,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.04,
Courgettes (transformation industrielle),8541,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.04,
Courges butternut ( consommation au frais),9456,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.04,
Courges butternut (transformation industrielle),8456,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.04,
Echalotes en frais,9513,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
Echalotes industrielle,8513,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
Endives de Bruxelles (pour la racine) (transformation industrielle),8561,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.07,
Endives (chicons),9515,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.07,
Epinards (consommation au frais),9519,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.06,
Epinards ( transformation industrielle),8519,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.06,
Fenouil ( de Florence) ( consommation au frais),9534,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.02,
Fenouil (de Florence) ( transformation industrielle),8534,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.02,
Fleurs et plantes ornementales sous serre,9588,CULTURES HORTICOLES,CULTURES HORTICOLES,9.05,
Plants de fraisiers de plein air,9724,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,
Cultures fruitiŠres annuelles- Fraises sous serres,8516,CULTURES HORTICOLES,CULTURES HORTICOLES,3.04.05,
Haricots de conserverie,9410,CULTURES HORTICOLES,CULTURES HORTICOLES,7.90,
Haricots verts (transformation industrielle),8410,CULTURES HORTICOLES,CULTURES HORTICOLES,7.90,
Laitues pomm‚es (consommation au frais),9518,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.05,
Laitues pomm‚es (transformation industrielle),8518,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.05,
L‚gume l‚gumineuse,966,CULTURES HORTICOLES,CULTURES HORTICOLES,7.90,7ÿ?
Navets fourragers,746,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.02,
Oignons (hƒtifs) (transformation industrielle),8563,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
Oignons (non hƒtifs) ( transformation industrielle),8514,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
Oignons (hƒtifs) (consommation au frais),9563,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
Oignons (non hƒtifs) (consommation au frais),9514,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.04,
P‚piniŠres de plants forestiers,9560,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,
P‚piniŠres de plants fruitiers ou de plantes ornementales,9520,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,3
Persil ( consommation au frais),959,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.90,
Persil (transformation industrielle),859,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02.01.90,
Plantes aromatiques,953,CULTURES HORTICOLES,CULTURES HORTICOLES,6.02,
Plantes vivaces ornementales de plein air,9584,CULTURES HORTICOLES,CULTURES HORTICOLES,9.05,
Poireau (consommation au frais),9538,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.05,
Poireau (transformation industrielle),8538,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.05,
"Pois r‚colt‚s … l'‚tat frais, pois de conserverie",931,CULTURES HORTICOLES,CULTURES HORTICOLES,7.07,
Pois (autres que r‚colt‚s secs) (transformation industrielle),831,CULTURES HORTICOLES,CULTURES HORTICOLES,7.07,
Rhubarbe ( consommation au frais),9517,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
Rhubarbe ( transformation industrielle),8517,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.90,
Scaroles (transformation industrielle),8537,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.05,
Scaroles (consommation au frais),9537,CULTURES HORTICOLES,CULTURES HORTICOLES,2.01.05,
ScorsonŠre (transformation industrielle),8533,CULTURES HORTICOLES,CULTURES HORTICOLES,2.03.90,
Tomates (consommation au frais),9552,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.03,
Tomates ( transformation industrielle),8552,CULTURES HORTICOLES,CULTURES HORTICOLES,2.02.03,
Cultures maraŒchŠres sous serres ou sous protection fixe,952,CULTURES HORTICOLES,CULTURES HORTICOLES,#indef,
Vignes,9716,CULTURES HORTICOLES,CULTURES HORTICOLES,3.03,
Noisetier,9201,FRUITS A COQUES,FRUITS A COQUES,3.06.04,
Noyer,9202,FRUITS A COQUES,FRUITS A COQUES,3.06.06,
Colza d'hiver,4111,OLEAGINEUX,OLEAGINEUX,4.03.05,
Navette d'hiver (graines),4112,OLEAGINEUX,OLEAGINEUX,4.03.90,
Colza de printemps,4121,OLEAGINEUX,OLEAGINEUX,4.03.05,
Navette de printemps (graines),4122,OLEAGINEUX,OLEAGINEUX,4.03.90,
Lin ol‚agineux,45,OLEAGINEUX,OLEAGINEUX,4.03.02,
Soja,43,OLEAGINEUX,OLEAGINEUX,4.01,
Tournesol,42,OLEAGINEUX,OLEAGINEUX,4.03.08,
Autres ol‚agineux*,46,OLEAGINEUX,OLEAGINEUX,4.03.90,
Chanvre textile (culture soumise … autorisation pr‚alable au semis),922,PLANTES A FIBRES,PLANTES A FIBRES,9.02.01.05,
Chanvre non textile (culture soumise … autorisation pr‚alable au semis),872,PLANTES A FIBRES,PLANTES A FIBRES,9.02.01.05,
Lin textile,921,PLANTES A FIBRES,PLANTES A FIBRES,9.02.01.04,
Pomme de terre (plants),902,POMMES DE TERRE,POMMES DE TERRE,5.01,
Pomme de terre (non hƒtives),901,POMMES DE TERRE,POMMES DE TERRE,5.01,
Pomme de terre f‚culiŠre,903,POMMES DE TERRE,POMMES DE TERRE,5.01,
Pomme de terre hƒtives,904,POMMES DE TERRE,POMMES DE TERRE,5.01,
"Pomme de terre (primeur, arrachage avant le 20 juin)",905,POMMES DE TERRE,POMMES DE TERRE,5.01,
Betterave fourragŠre,71,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,8.01,
Luzerne,73,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
"Prairie permanente (taux de couverture > 90%), hors rotation depuis 5 ans****",610,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
"Prairie permanente (taux de couverture > 90%),avec contrat d'aide compl‚mentaire
environnemental, hors rotation depuis 5 ans****",618,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
"Prairie permanente (50%<taux de couverture <= 90%), hors rotation depuis 5 ans****",670,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
"Prairie permanente (50%<taux de couverture <= 90%), avec contrat d'aide
compl‚mentaire environnemental, hors rotation depuis 5 ans****",678,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
"Autres surfaces pƒtur‚es (taux de couverture <= 50%), hors rotation depuis 5 ans****",600,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
"Autres surfaces pƒtur‚es (taux de couverture <= 50%), avec contrat d'aide
compl‚mentaire environnemental, hors rotation depuis 5 ans****",608,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.02,
Prairie temporaire,62,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
Prairie … vocation … devenir permanente pour les parcelles en MAEC et N2000,623,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
TrŠfles,72,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
Carotte,7433,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,2.03.01,
Carottes fourragŠres,742,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,2.03.01,
Autres fourrages*,743,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,?
FŠves et F‚veroles d'hiver,521,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.02,
FŠves et F‚veroles de printemps,522,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.02,
Lotier cornicul‚ (Lotus corniculatis),57,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
Lupin doux,53,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.06,
Luzerne lupuline,56,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,9.01.01,
M‚lange prot‚agineux d'hiver + c‚r‚ales ou autres espŠces,541,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,#indef,7 | 1
M‚lange prot‚agineux de printemps + c‚r‚ales ou autres espŠces,542,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,#indef,7 | 1
