ID_CROPS_WL,ID_GROUP_ICC
341,1.07
342,1.07
36,#indef
311,1.01
312,1.01
201,1.02
202,1.02
39,#indef
321,1.05
322,1.05
323,1.05
37,1.10
331,1.06
332,1.06
351,1.09
352,1.09
381,1.04
382,1.12
9516,3.04.05
9717,3.04.04
9742,#indef
9741,#indef
885,#indef
96,9.05
951,2.90
954,9.05
958,9.05
9521,2.90
9511,2.01.02
8511,2.01.02
9525,2.01.04
8525,2.01.04
8535,2.03.01
8564,2.03.01
9535,2.03.01
9564,2.03.01
8543,2.01.90
8551,2.01.90
8539,2.01.90
9543,2.01.90
8548,2.01.90
960,6.02.01.90
860,6.02.01.90
9536,2.04
9529,2.01.03
8529,2.01.03
8512,2.01.90
9512,2.01.90
8523,2.01.04
9523,2.01.04
9548,2.01.03
9527,2.01.03
8527,2.01.03
8540,2.01.03
9540,2.01.03
8524,2.01.03
8546,2.01.03
8526,2.01.03
9541,2.02.04
8541,2.02.04
9456,2.02.04
8456,2.02.04
9513,2.03.04
8513,2.03.04
8561,2.01.07
9515,2.01.07
9519,2.01.06
8519,2.01.06
9534,6.02.01.02
8534,6.02.01.02
9588,9.05
9724,#indef
8516,3.04.05
9410,7.90
8410,7.90
9518,2.01.05
8518,2.01.05
966,7.90
746,2.03.02
8563,2.03.04
8514,2.03.04
9563,2.03.04
9514,2.03.04
9560,#indef
9520,#indef
959,6.02.01.90
859,6.02.01.90
953,6.02
9584,9.05
9538,2.03.05
8538,2.03.05
931,7.07
831,7.07
9517,2.01.90
8517,2.01.90
8537,2.01.05
9537,2.01.05
8533,2.03.90
9552,2.02.03
8552,2.02.03
952,#indef
9716,3.03
9201,3.06.04
9202,3.06.06
4111,4.03.05
4112,4.03.90
4121,4.03.05
4122,4.03.90
45,4.03.02
43,4.01
42,4.03.08
46,4.03.90
922,9.02.01.05
872,9.02.01.05
921,9.02.01.04
902,5.01
901,5.01
903,5.01
904,5.01
905,5.01
71,8.01
73,9.01.01
610,9.01.02
618,9.01.02
670,9.01.02
678,9.01.02
600,9.01.02
608,9.01.02
62,9.01.01
623,9.01.01
72,9.01.01
7433,2.03.01
742,2.03.01
743,9.01.01
521,7.02
522,7.02
57,9.01.01
53,7.06
56,9.01.01
541,#indef
542,#indef
543,#indef
511,7.07
512,7.07
58,9.01.01
55,7.90
881,6.02.02.90
91,8.01
9811,2.01.07
9812,2.01.07
811,9.01.01
812,#indef
813,9.01.01
883,#exclude
821,#exclude
9822,6.02.02.07
884,9.01.01
7431,9.03.01.90
953,6.02
957,9.03.01.90
9821,9.06
874,#exclude
751,9.01.01
754,#exclude
752,#exclude
760,#exclude
85,#indef
