CROPS_WL,ID_CROPS_WL,GROUP_WL,ID_GROUP_WL,GROUP_WL_filtered,CROPS_WL_filtered,match,max_match,ID_GROUP_ICC,sim
Avoine d’hiver,341,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Avoine dhiver,[],[],,
Avoine de printemps,342,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Avoine de printemps,[],[],,
Epeautre,36,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Epe,[],[],,
Froment d’hiver,311,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Froment dhiver,[],[],,
Froment de printemps,312,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Froment de printemps,[],[],,
Maïs ensilage,201,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Maïs ensilage,[],[],,
Maïs grain,202,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Maïs grain,[],[],,
Céréales + légumineuses*,39,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Céréales légumineuses,[],[],,
Orge d’hiver,321,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Orge dhiver,[],[],,
Orge de printemps,322,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Orge de printemps,[],[],,
Orge de brasserie,323,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Orge de brasserie,[],[],,
Sarrasin,37,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Sarrasin,"[['CROPS_WL', 37, 'Sarrasin', 'Sarrasin', 1, 100.0]]","['CROPS_WL', 37, 'Sarrasin', 'Sarrasin', 1, 100.0]",1.0,100.0
Seigle d’hiver,331,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Seigle dhiver,[],[],,
Seigle de printemps,332,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Seigle de printemps,[],[],,
Triticale d’hiver,351,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Triticale dhiver,[],[],,
Triticale de printemps,352,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Triticale de printemps,[],[],,
Sorgho,381,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Sorgho,"[['CROPS_WL', 381, 'Sorgho', 'Sorgho', 1, 100.0], ['CROPS_WL', 381, 'Sorgho', 'Sorgho doux', 8, 100.0]]","['CROPS_WL', 381, 'Sorgho', 'Sorgho', 1, 100.0]",1.0,100.0
Quinoa,382,CEREALES ET ASSIMILES,CEREALES ET ASSIMILES,CEREALES ASSIMILES,Quinoa,"[['CROPS_WL', 382, 'Quinoa', 'Quinoa', 1, 100.0]]","['CROPS_WL', 382, 'Quinoa', 'Quinoa', 1, 100.0]",1.0,100.0
Cultures fruitières annuelles - Fraises,9516,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures fruitières annuelles Fraises,[],[],,
Cultures fruitières annuelles - Framboises,9717,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures fruitières annuelles Framboises,[],[],,
Cultures fruitière pluriannuelles-hautes tiges ( de 50 à 250 arbres/ha)*,9742,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures fruitière pluriannuelleshautes tiges,[],[],,
Cultures fruitière pluriannuelles-basses tiges ( plus de 250 arbres /ha)*,9741,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures fruitière pluriannuellesbasses tiges,[],[],,
Cultures permanentes sous serre*,885,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures permanentes sous serre,[],[],,
Cultures horticoles non-comestibles*,96,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures horticoles noncomestibles,[],[],,
Autres légumes plein air,951,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,légumes plein air,[],[],,
Autres plantes ornementales de plein air,954,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,plantes ornementales de plein air,[],[],,
Autres plantes ornementales sous serre,958,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,plantes ornementales sous serre,[],[],,
Autres cultures de légumes sous serre,9521,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,cultures de légumes sous serre,[],[],,
Asperges (consommation au frais),9511,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Asperges,"[['CROPS_WL', 9511, 'Asperges', 'Asperges', 2, 100.0]]","['CROPS_WL', 9511, 'Asperges', 'Asperges', 2, 100.0]",2.0,100.0
Asperges (transformation industrielle),8511,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Asperges,"[['CROPS_WL', 8511, 'Asperges', 'Asperges', 2, 100.0]]","['CROPS_WL', 8511, 'Asperges', 'Asperges', 2, 100.0]",2.0,100.0
Brocolis (consommation au frais),9525,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Brocolis,[],[],,
Brocoli (transformation industrielle),8525,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Brocoli,[],[],,
Carotte (non hâtive) (consommation) (transformation industrielle),8535,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Carotte,"[['CROPS_WL', 8535, 'Carotte', 'Carottes', 2, 93.0]]","['CROPS_WL', 8535, 'Carotte', 'Carottes', 2, 93.0]",2.0,93.0
Carotte (hâtive)(consommation) (transformation industrielle),8564,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Carotte,"[['CROPS_WL', 8564, 'Carotte', 'Carottes', 2, 93.0]]","['CROPS_WL', 8564, 'Carotte', 'Carottes', 2, 93.0]",2.0,93.0
Carotte ( non hâtive) (consommation au frais),9535,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Carotte,"[['CROPS_WL', 9535, 'Carotte', 'Carottes', 2, 93.0]]","['CROPS_WL', 9535, 'Carotte', 'Carottes', 2, 93.0]",2.0,93.0
Carotte ( hâtive) (consommation au frais),9564,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Carotte,"[['CROPS_WL', 9564, 'Carotte', 'Carottes', 2, 93.0]]","['CROPS_WL', 9564, 'Carotte', 'Carottes', 2, 93.0]",2.0,93.0
Céleri-rave (transformation industrielle),8543,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Célerirave,[],[],,
Céleri-branche ( transformation industrielle),8551,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Céleribranche,[],[],,
Céleri à côtes ( transformation industrielle),8539,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Céleri à côtes,[],[],,
Céleri-rave (consommation au frais),9543,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Célerirave,[],[],,
Céleri vert ( transformation industrielle),8548,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Céleri vert,[],[],,
Cerfeuil (consommation au frais),960,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cerfeuil,[],[],,
Cerfeuil ( transformation industrielle),860,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cerfeuil,[],[],,
Champignons,9536,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Champignons,"[['CROPS_WL', 9536, 'Champignons', 'Truffes de champignons', 2, 91.0]]","['CROPS_WL', 9536, 'Champignons', 'Truffes de champignons', 2, 91.0]",2.0,91.0
Choux-rave (consommation au frais),9529,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chouxrave,[],[],,
Choux-rave (transformation industrielle),8529,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chouxrave,[],[],,
Chou de Bruxelles (transformation industrielle),8512,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou de Bruxelles,[],[],,
Chou de Bruxelles (consommation au frais),9512,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou de Bruxelles,[],[],,
Chou-fleur (transformation industrielle),8523,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Choufleur,"[['CROPS_WL', 8523, 'Choufleur', 'Chou-fleur brocoli', 2, 95.0]]","['CROPS_WL', 8523, 'Choufleur', 'Chou-fleur brocoli', 2, 95.0]",2.0,95.0
Chou-fleur (consommation au frais),9523,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Choufleur,"[['CROPS_WL', 9523, 'Choufleur', 'Chou-fleur brocoli', 2, 95.0]]","['CROPS_WL', 9523, 'Choufleur', 'Chou-fleur brocoli', 2, 95.0]",2.0,95.0
Choux – légumes/Céleri vert (consommation au frais),9548,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Choux légumesCéleri vert,[],[],,
Choux rouge (consommation au frais),9527,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Choux rouge,[],[],,
Choux rouge (transformation industrielle),8527,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Choux rouge,[],[],,
Chou blanc (transformation industrielle),8540,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou blanc,[],[],,
Chou blanc (consommation au frais),9540,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou blanc,[],[],,
Chou frisé (transformation industrielle),8524,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou frisé,[],[],,
Chou de Milan ( transformation industrielle),8546,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou de Milan,[],[],,
Chou chinois,8526,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Chou chinois,[],[],,
Courgettes ( consommation au frais),9541,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Courgettes,[],[],,
Courgettes (transformation industrielle),8541,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Courgettes,[],[],,
Courges butternut ( consommation au frais),9456,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Courges butternut,[],[],,
Courges butternut (transformation industrielle),8456,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Courges butternut,[],[],,
Echalotes en frais,9513,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Echalotes en frais,[],[],,
Echalotes industrielle,8513,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Echalotes industrielle,[],[],,
Endives de Bruxelles (pour la racine) (transformation industrielle),8561,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Endives de Bruxelles,[],[],,
Endives (chicons),9515,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Endives,[],[],,
Epinards (consommation au frais),9519,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Epinards,"[['CROPS_WL', 9519, 'Epinards', 'Epinards', 2, 100.0]]","['CROPS_WL', 9519, 'Epinards', 'Epinards', 2, 100.0]",2.0,100.0
Epinards ( transformation industrielle),8519,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Epinards,"[['CROPS_WL', 8519, 'Epinards', 'Epinards', 2, 100.0]]","['CROPS_WL', 8519, 'Epinards', 'Epinards', 2, 100.0]",2.0,100.0
Fenouil ( de Florence) ( consommation au frais),9534,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Fenouil,[],[],,
Fenouil (de Florence) ( transformation industrielle),8534,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Fenouil,[],[],,
Fleurs et plantes ornementales sous serre,9588,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Fleurs plantes ornementales sous serre,[],[],,
Plants de fraisiers de plein air,9724,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Plants de fraisiers de plein air,[],[],,
Cultures fruitières annuelles- Fraises sous serres,8516,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Cultures fruitières annuelles Fraises sous serres,[],[],,
Haricots de conserverie,9410,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Haricots de conserverie,[],[],,
Haricots verts (transformation industrielle),8410,CULTURES HORTICOLES,CULTURES HORTICOLES,CULTURES HORTICOLES,Haricots verts,[],[],,
