index,GROUP_WL,,index,GROUP_FR
1,Autres utilisations,,1,Blé tendre
2,Céréales et assimilés,,2,Maïs grain et ensilage
3,Cultures horticoles et maraîchères,,3,Orge
4,Fruits à coque,,4,Autres céréales
5,Oléagineux,,5,Colza
6,Plantes à fibres,,6,Tournesol
7,Pommes de terre,,7,Autres oléagineux
8,Production fourragère,,8,Protéagineux
,,,9,Plantes à fibres
,,,10,Gel (surfaces gelées sans production)
,,,11,Riz
,,,12,Légumineuses à grains
,,,13,Fourrage
,,,14,Estives et landes
,,,15,Prairies permanentes
,,,16,Prairies temporaires
,,,17,Vergers
,,,18,Vignes
,,,19,Fruits à coque
,,,20,Oliviers
,,,21,Autres cultures industrielles
,,,22,Légumes ou fleurs
,,,23,Canne à sucre
,,,24,Divers
