CODE_CULTURE,LIBELLE_CULTURE,LIBELLE_GROUPE_CULTURE
BTH,Blé tendre d’hiver,Blé tendre
BTP,Blé tendre de printemps,Blé tendre
MID,Maïs doux,Maïs grain et ensilage
MIE,Maïs ensilage,Maïs grain et ensilage
MIS,Maïs,Maïs grain et ensilage
ORH,Orge d'hiver,Orge
ORP,Orge de printemps,Orge
AVH,Avoine d’hiver,Autres céréales
AVP,Avoine de printemps,Autres céréales
BDH,Blé dur d’hiver,Autres céréales
OPR,Autre oléagineux de printemps d’espèce Brassica rapa,Autres oléagineux
SOJ,Soja,Autres oléagineux
FEV,Fève,Protéagineux
FVL,Féverole semée avant le 31/05,Protéagineux
FVT,Féverole semée tardivement (après le 31/05),Protéagineux
LDH,Lupin doux d’hiver,Protéagineux
J6S,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,Gel (surfaces gelées sans production)
JNO,Jachère noire,Gel (surfaces gelées sans production)
RIZ,Riz,Riz
LEC,Lentille cultivée (non fourragère),Légumineuses à grains
PCH,Pois chiche,Légumineuses à grains
BVF,Betterave fourragère,Fourrage
CAF,Carotte fourragère,Fourrage
CAR,Carotte,Légumes ou fleurs
CCN,Concombre / Cornichon,Légumes ou fleurs
CCT,Courgette / Citrouille,Légumes ou fleurs
CEL,Céleri,Légumes ou fleurs
CES,Chicorée / Endive / Scarole,Légumes ou fleurs
CHU,Chou,Légumes ou fleurs
CMB,Courge musquée / Butternut,Légumes ou fleurs
CRA,Cresson alénois de 5 ans ou moins,Légumes ou fleurs
CRN,Cornille,Légumes ou fleurs
CRS,Cresson,Légumes ou fleurs
CSS,Culture sous serre hors sol,Légumes ou fleurs
DOL,Dolique,Légumes ou fleurs
EPI,Épinard,Légumes ou fleurs
FLA,Autre légume ou fruit annuel,Légumes ou fleurs
FLP,Autre légume ou fruit pérenne,Légumes ou fleurs
FRA,Fraise,Légumes ou fleurs
GER,Géranium,Légumes ou fleurs
HAR,Haricot / Flageolet,Légumes ou fleurs
HPC,Horticulture ornementale de plein champ,Légumes ou fleurs
HSA,Horticulture ornementale sous abri,Légumes ou fleurs
LBF,Laitue / Batavia / Feuille de chêne,Légumes ou fleurs
LSA,Légume sous abri,Légumes ou fleurs
MAC,Mâche,Légumes ou fleurs
MLO,Melon,Légumes ou fleurs
