CROP_GROUP_EN,CODE,CROP
Vegetables and melons,VGT,Leafy or stem vegetables
Vegetables and melons,VGT,Artichokes
Vegetables and melons,VGT,Asparagus
Vegetables and melons,VGT,Cabbages
Vegetables and melons,VGT,Cauliflower and broccoli
Vegetables and melons,VGT,Lettuce
Vegetables and melons,VGT,Spinach
Vegetables and melons,VGT,Chicory
Vegetables and melons,VGT,"Other leafy or stem vegetables, n.e.c."
Vegetables and melons,VGT,Fruit-bearing vegetables
Vegetables and melons,VGT,Cucumbers
Vegetables and melons,VGT,Eggplants (aubergines)
Vegetables and melons,VGT,Tomatoes
Vegetables and melons,VGT,"Pumpkin, squash and gourds"
Vegetables and melons,VGT,Okra
Vegetables and melons,VGT,"Other fruit-bearing vegetables, n.e.c."
Vegetables and melons,VGT,"Root, bulb or tuberous vegetables"
Vegetables and melons,VGT,Carrots
Vegetables and melons,VGT,Turnips
Vegetables and melons,VGT,Garlic
Vegetables and melons,VGT,Onions (incl. shallots)
Vegetables and melons,VGT,Leeks and other alliaceous vegetables
Vegetables and melons,VGT,"Other root, bulb, or tuberous vegetables, n.e.c."
Vegetables and melons,VGT,Mushrooms and truffles
Vegetables and melons,VGT,Melons
Vegetables and melons,VGT,Watermelons
Vegetables and melons,VGT,Cantaloupes and other melons
Vegetables and melons,VGT,Other vegetables n.e.c.
