"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS,GROUPE
1.0,1,Cereals,11.0,Wheat,,,,,Céréales
1.0,1,Cereals,12.0,Maize,,,,,Céréales
1.0,1,Cereals,13.0,Rice,,,,,Céréales
1.0,1,Cereals,14.0,Sorghum,,,,,Céréales
1.0,1,Cereals,15.0,Barley,,,,,Céréales
1.0,1,Cereals,16.0,Rye,,,,,Céréales
1.0,1,Cereals,17.0,Oats,,,,,Céréales
1.0,1,Cereals,18.0,Millets,,,,,Céréales
1.0,1,Cereals,19.0,"Other cereals, n.e.c",191.0,Mixed cereals,,,Céréales
1.0,1,Cereals,19.0,"Other cereals, n.e.c",192.0,Other,,,Céréales
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,211.0,Artichokes,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,212.0,Asparagus,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,213.0,Cabbages,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,214.0,Cauliflowers & broccoli,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,215.0,Lettuce,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,216.0,Spinach,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,217.0,Chicory,,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Leafy or stem vegetables,219.0,"Other leafy or stem vegetables, n.e.c.",,,Légumes et melons
1.0,2,Vegetables and melons,21.0,Fruit-bearing vegetables,221.0,Cucumbers,,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,222.0,Eggplants (aubergines),,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,223.0,Tomatoes,,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,224.0,Watermelons,,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,225.0,Cantaloupes and other melons,,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,226.0,"Pumpkin, squash and gourds",,,Légumes et melons
1.0,2,Vegetables and melons,22.0,Fruit-bearing vegetables,229.0,"Other fruit-bearing vegetables, n.e.c.",,,Légumes et melons
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",231.0,Carrots,,,Légumes et melons
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",232.0,Turnips,,,Légumes et melons
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",233.0,Garlic,,,Légumes et melons
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",234.0,Onions (incl. shallots),,,Légumes et melons
,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",235.0,Leeks & other alliaceous vegetables,,,Légumes et melons
1.0,2,Vegetables and melons,23.0,"Root, bulb, or tuberous vegetables",239.0,"Other root, bulb, or tuberous vegetables, n.e.c.",,,Légumes et melons
1.0,2,Vegetables and melons,24.0,Mushrooms and truffles,,,,,Légumes et melons
1.0,2,Vegetables and melons,29.0,"Vegetables, n.e.c",,,,,Légumes et melons
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,311.0,Avocados,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,312.0,Bananas & plantains,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,313.0,Dates,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,314.0,Figs,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,315.0,Mangoes,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,316.0,Papayas,,,Fruits et noix
2.0,3,Fruit and nuts,31.0,Tropical and subtropical fruits,317.0,Pineapples,,,Fruits et noix
