ID_CROPS_CAT,ID_GROUP_ICC_handmade,ID_GROUP_ICC,ID_GROUP_ICC_computed
agrostis,9.0,9.0,9.0
albercoquers,3.0,4.0,4.0
alfals no sie,9.0,9.0,9.0
alfals sie,9.0,9.0,9.0
altres fruiters,3.0,3.0,3.0
ametllers,3.0,3.0,3.0
anet,6.0,2.0,2.0
api,2.0,2.0,2.0
avellaner,3.0,3.0,3.0
blat de moro,1.0,1.0,1.0
blat dur,1.0,1.0,1.0
blat khorasan,1.0,1.0,1.0
blat tou,1.0,1.0,1.0
bleda,2.0,2.0,2.0
bolets,2.0,2.0,2.0
borratja,,2.0,2.0
camamilla,9.0,1.0,1.0
camelina,4.0,4.0,4.0
canya comuna,9.0,,
caqui,3.0,4.0,4.0
carabassa,2.0,2.0,2.0
carxofa,2.0,2.0,2.0
castanyers,3.0,3.0,3.0
cigrons no sie,7.0,7.0,7.0
cigrons sie,7.0,7.0,7.0
cirerers,3.0,3.0,3.0
civada,1.0,1.0,1.0
clementina,3.0,3.0,3.0
closa any 1,9.0,9.0,9.0
codony,3.0,3.0,3.0
cogombre,2.0,2.0,2.0
col i coliflor,,2.0,2.0
colza,4.0,4.0,4.0
conreu de fruits del bosc,3.0,,
coriandre,6.0,2.0,2.0
cua de rata (phleum),9.0,9.0,9.0
enciam,2.0,2.0,2.0
erbs (llegum) no sie,7.0,7.0,7.0
erbs (llegum) sie,7.0,7.0,7.0
escaiola,1.0,1.0,1.0
esparrecs,2.0,2.0,2.0
especies aromatiques llenyoses,6.0,,
espelta,1.0,1.0,1.0
espinac,2.0,2.0,2.0
fajol,1.0,1.0,1.0
favera borda no sie o moreu n*,7.0,7.0,7.0
favers borda sie o moreu sie,7.0,7.0,7.0
faves i favons no sie,7.0,7.0,7.0
faves i favons sie,7.0,7.0,7.0
fenigrec no sie,7.0,9.0,9.0
fenigrec sie,7.0,9.0,9.0
festuca,9.0,9.0,9.0
figuera,3.0,4.0,4.0
fonoll,6.0,6.0,6.0
garlanda no sie,7.0,7.0,7.0
garrofer,3.0,9.0,9.0
gerds,3.0,3.0,3.0
gira-sol,4.0,4.0,4.0
grosella,3.0,4.0,4.0
guaret no sie/ sup. lliure se*,9.0,,
guaret sie/ sup. lliure sembra,9.0,,
guixes no sie o pedrerol no s*,7.0,7.0,7.0
guixes sie o pedrerol sie,7.0,7.0,7.0
horta,,2.0,2.0
julivert,6.0,,
kiwi,3.0,3.0,3.0
llenties no sie,7.0,7.0,7.0
llenties sie,7.0,7.0,7.0
lli,9.0,3.0,3.0
llimoner,3.0,3.0,3.0
maduixa,3.0,2.0,2.0
magraner,3.0,4.0,4.0
marduix,6.0,1.0,1.0
melissa o tarongina,3.0,5.0,5.0
menta,9.0,3.0,3.0
mestall,1.0,1.0,1.0
mill,1.0,1.0,1.0
mongeta no sie,7.0,7.0,7.0
mongeta sie,7.0,7.0,7.0
nabius,3.0,3.0,3.0
nap i col xinesa,2.0,2.0,2.0
nashi,3.0,4.0,4.0
nectarins,3.0,3.0,3.0
nesprer,3.0,4.0,4.0
nogueres,3.0,9.0,9.0
oliveres,4.0,,
ordi,1.0,1.0,1.0
orenga,6.0,9.0,9.0
pastanaga,2.0,2.0,2.0
patata,5.0,2.0,2.0
pebrot,6.0,6.0,6.0
pereres,3.0,4.0,4.0
pistatxer o festuc,3.0,9.0,9.0
poa,9.0,9.0,9.0
pomelo o aranja,3.0,3.0,3.0
pomeres,3.0,4.0,4.0
presseguers,3.0,4.0,4.0
pruneres,3.0,4.0,4.0
quinoa,1.0,1.0,1.0
rave,2.0,2.0,2.0
ray-grass,9.0,9.0,9.0
remolatxa,8.0,8.0,8.0
sajolida,6.0,1.0,1.0
satsuma,3.0,3.0,3.0
soia no sie,4.0,4.0,4.0
soia sie,4.0,4.0,4.0
sorgo,1.0,1.0,1.0
sulla no sie o enclova no sie,9.0,9.0,9.0
sulla sie o enclova sie,9.0,9.0,9.0
taronger,3.0,3.0,3.0
trepadella no sie,9.0,9.0,9.0
trepadella sie,9.0,9.0,9.0
triticale,1.0,1.0,1.0
tritordeum,1.0,1.0,1.0
veces no sie,7.0,9.0,9.0
veces sie,7.0,7.0,7.0
vinyes,3.0,3.0,3.0
viver arbre i arbust,,,
