ID_CROPS_CAT,ID_GROUP_ICC
pereres/pomeres,3.0
ordi,1.0
sorgo,1.0
civada,1.0
patata,
oliveres,
presseguers,3.0
pereres,3.0
pomeres,3.0
cirerers,3.0
meló,
síndria,
"cebes, calçots, porros i alls",2.0
carbassó,2.0
carabassa,2.0
tomàquet,2.0
guaret no sie/ sup. lliure se*,
guaret sie/ sup. lliure sembra,
pèsols sie,4.0
veces sie,7.0
vinyes,3.0
ametllers,3.0
albercoquers,3.0
pèsols no sie,4.0
horta,
blat tou,1.0
mill,1.0
camelina,4.0
alfals sie,9.0
trepadella sie,9.0
festuca,9.0
ray-grass,9.0
figuera,3.0
veça i civada sie,9.0
veça i civada no sie,9.0
blat de moro,1.0
faves i favons no sie,4.0
avellaner,3.0
enciam,2.0
col i coliflor,
cogombre,2.0
bleda,
veça i triticale sie,1.0
alfals no sie,9.0
mongeta no sie,7.0
colza,4.0
faves i favons sie,4.0
mongeta sie,7.0
especies aromàtiques herbàci,
carxofa,
pastanaga,2.0
maduixa,
esparrecs,2.0
cànem,9.0
pebrot,6.0
clementina,3.0
fruiters varis,3.0
nogueres,3.0
altres fruiters,2.0
espelta,1.0
sègol,1.0
llenties sie,7.0
erbs (llegum) sie,7.0
fenigrec sie,9.0
trepadella no sie,9.0
remolatxa,8.0
api,
albergínia,2.0
nap i col xinesa,
espinac,2.0
rave,
alfàbrega,9.0
kiwi,3.0
triticale,1.0
veces no sie,9.0
llúpol,6.0
tòfona,2.0
lavanda o espígol,
cigrons no sie,7.0
fenigrec no sie,9.0
favera borda no sie o moreu n*,7.0
"endívia, escarola i xicoira",
llimoner,3.0
caqui,3.0
flors i ornamentals,9.0
pèsol i ordi sie,9.0
veça i blat sie,9.0
veça i blat no sie,9.0
pruneres,3.0
erbs (llegum) no sie,7.0
viver arbre i arbust,
julivert,
mestall,1.0
nectarins,3.0
cigrons sie,7.0
blat dur,1.0
garrofer,3.0
codony,3.0
llenties no sie,7.0
pistatxer o festuc,3.0
blat khorasan,1.0
dàctil (dactylis),9.0
presseguers/nectarins,3.0
safrà,
veça i ordi no sie,9.0
veça i ordi sie,9.0
especies aromatiques llenyoses,
trèvol sie,9.0
trèvol no sie,9.0
magraner,3.0
fajol,1.0
sajolida,
veça i triticale  no sie,1.0
pèsol i civada no sie,9.0
pèsol i civada sie,9.0
gira-sol,4.0
coriandre,
boixac o calèndula,
melissa o tarongina,5.0
guixes no sie o pedrerol no s*,7.0
nesprer,3.0
sulla no sie o enclova no sie,9.0
farigola o timó,
poa,9.0
quinoa,1.0
taronger,3.0
soia sie,4.0
lli,
bolets,2.0
anet,
fonoll,6.0
menta,
romaní,
marduix,
raïm de taula,
favers borda sie o moreu sie,7.0
canya comuna,
conreu de fruits del bosc,
crèixens,
castanyers,3.0
arròs,1.0
agrostis,9.0
tramussos dolços sie,4.0
orenga,
guaret sie amb espècies mel?l,
gerds,3.0
soia no sie,4.0
tramussos dolços no sie,4.0
sulla sie o enclova sie,9.0
nabius,3.0
closa any 1,9.0
cua de rata (phleum),9.0
escaiola,1.0
pericó o herba de sant joan,
pèsol i ordi no sie,9.0
garlanda no sie,7.0
borratja,
guixó no sie o pèsol quadrat,7.0
nashi,3.0
camamilla,
grosella,4.0
guixes sie o pedrerol sie,7.0
tritordeum,1.0
pomelo o aranja,3.0
mandariner híbrid,3.0
'algarroba' herbàcia sie,7.0
satsuma,3.0
