GROUP_CAT,CROPS_CAT,GROUP_CAT_filtered,ID_GROUP_CAT,CROPS_CAT_filtered,ID_CROPS_CAT,match,max_match,ID_GROUP_ICC,sim
fruita dolca,pereres/pomeres,fruita dolca,fruita dolca,pererespomeres,pereres/pomeres,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
cereals,ordi,cereals,cereals,ordi,ordi,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'ordi', 'ordi', 'Ordi', 1, 75]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
cereals d'estiu,sorgo,cereals destiu,cereals d'estiu,sorgo,sorgo,"[['GROUP_CAT', ""cereals d'estiu"", 'cereals destiu', 'Cereals', 1, 86], ['CROPS_CAT', 'sorgo', 'sorgo', 'Sorgo', 1, 80], ['CROPS_CAT', 'sorgo', 'sorgo', 'Sorgo dolç', 8, 80.0]]","['GROUP_CAT', ""cereals d'estiu"", 'cereals destiu', 'Cereals', 1, 86]",1.0,86.0
cereals,civada,cereals,cereals,civada,civada,"[['GROUP_CAT', 'cereals', 'cereals', 'Cereals', 1, 86], ['GROUP_CAT', 'cereals', 'cereals', 'Cereals barrejats', 1, 86.0], ['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0], ['CROPS_CAT', 'civada', 'civada', 'Civada', 1, 83]]","['GROUP_CAT', 'cereals', 'cereals', 'Altres cereals', 1, 100.0]",1.0,100.0
horticoles,patata,horticoles,horticoles,patata,patata,[],[],,
oliverar,oliveres,oliverar,oliverar,oliveres,oliveres,[],[],,
fruita dolca,presseguers,fruita dolca,fruita dolca,presseguers,presseguers,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
fruita dolca,pereres,fruita dolca,fruita dolca,pereres,pereres,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
fruita dolca,pomeres,fruita dolca,fruita dolca,pomeres,pomeres,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]]","['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0]",3.0,75.0
fruita dolca,cirerers,fruita dolca,fruita dolca,cirerers,cirerers,"[['GROUP_CAT', 'fruita dolca', 'fruita dolca', 'fruits secs de cola', 3, 75.0], ['CROPS_CAT', 'cirerers', 'cirerers', 'Cireres i cireres', 3, 93.0]]","['CROPS_CAT', 'cirerers', 'cirerers', 'Cireres i cireres', 3, 93.0]",3.0,93.0
horticoles,meló,horticoles,horticoles,meló,meló,[],[],,
horticoles,síndria,horticoles,horticoles,síndria,síndria,[],[],,
horticoles,"cebes, calçots, porros i alls",horticoles,horticoles,cebes calçots porros i alls,"cebes, calçots, porros i alls","[['CROPS_CAT', 'cebes, calçots, porros i alls', 'cebes calçots porros i alls', 'Cebes', 2, 80]]","['CROPS_CAT', 'cebes, calçots, porros i alls', 'cebes calçots porros i alls', 'Cebes', 2, 80]",2.0,80.0
horticoles,carbassó,horticoles,horticoles,carbassó,carbassó,"[['CROPS_CAT', 'carbassó', 'carbassó', 'Carbassa i carbasses', 2, 82.0]]","['CROPS_CAT', 'carbassó', 'carbassó', 'Carbassa i carbasses', 2, 82.0]",2.0,82.0
horticoles,carabassa,horticoles,horticoles,carabassa,carabassa,"[['CROPS_CAT', 'carabassa', 'carabassa', 'Carbassa i carbasses', 2, 82.0]]","['CROPS_CAT', 'carabassa', 'carabassa', 'Carbassa i carbasses', 2, 82.0]",2.0,82.0
horticoles,tomàquet,horticoles,horticoles,tomàquet,tomàquet,"[['CROPS_CAT', 'tomàquet', 'tomàquet', 'Tomàquets', 2, 82]]","['CROPS_CAT', 'tomàquet', 'tomàquet', 'Tomàquets', 2, 82]",2.0,82.0
guaret,guaret no sie/ sup. lliure se*,guaret,guaret,guaret no sie sup lliure se,guaret no sie/ sup. lliure se*,[],[],,
guaret,guaret sie/ sup. lliure sembra,guaret,guaret,guaret sie sup lliure sembra,guaret sie/ sup. lliure sembra,[],[],,
proteaginoses,pèsols sie,proteaginoses,proteaginoses,pèsols sie,pèsols sie,"[['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius oleaginosos i fruits oleaginosos', 4, 75.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Cultius permanents de llavors oleaginoses', 4, 83.0], ['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres fruites oleaginoses', 4, 83.0], ['CROPS_CAT', 'pèsols sie', 'pèsols sie', 'Pèsols', 7, 83]]","['GROUP_CAT', 'proteaginoses', 'proteaginoses', 'Altres conreus temporals de llavors oleaginoses', 4, 83.0]",4.0,83.0
lleguminoses,veces sie,lleguminoses,lleguminoses,veces sie,veces sie,"[['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres conreus temporals de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius permanents de llavors oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Altres fruites oleaginoses', 4, 78.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0], ['CROPS_CAT', 'veces sie', 'veces sie', 'Veces', 7, 80]]","['GROUP_CAT', 'lleguminoses', 'lleguminoses', 'Cultius de lleguminoses', 7, 100.0]",7.0,100.0
vinya,vinyes,vinya,vinya,vinyes,vinyes,"[['CROPS_CAT', 'vinyes', 'vinyes', 'Pinyes', 3, 83]]","['CROPS_CAT', 'vinyes', 'vinyes', 'Pinyes', 3, 83]",3.0,83.0
