GROUP_CAT,CROPS_CAT,ID_GROUP_ICC
fruita dolca,pereres/pomeres,
cereals,ordi,
cereals d'estiu,sorgo,
cereals,civada,
horticoles,patata,
oliverar,oliveres,
fruita dolca,presseguers,
fruita dolca,pereres,
fruita dolca,pomeres,
fruita dolca,cirerers,
horticoles,meló,
horticoles,síndria,
horticoles,"cebes, calçots, porros i alls",
horticoles,carbassó,
horticoles,carabassa,
horticoles,tomàquet,
guaret,guaret no sie/ sup. lliure se*,
guaret,guaret sie/ sup. lliure sembra,
proteaginoses,pèsols sie,
lleguminoses,veces sie,
vinya,vinyes,
fruits de closca,ametllers,
fruita dolca,albercoquers,
proteaginoses,pèsols no sie,
horticoles,horta,
cereals,blat tou,
cereals,mill,
oleaginoses,camelina,
farratgeres,alfals sie,
farratgeres,trepadella sie,
farratgeres,festuca,
farratgeres,ray-grass,
fruita dolca,figuera,
farratgeres,veça i civada sie,
farratgeres,veça i civada no sie,
cereals d'estiu,blat de moro,
proteaginoses,faves i favons no sie,
fruits de closca,avellaner,
horticoles,enciam,
horticoles,col i coliflor,
horticoles,cogombre,
horticoles,bleda,
farratgeres,veça i triticale sie,
farratgeres,alfals no sie,
lleguminoses,mongeta no sie,
oleaginoses,colza,
proteaginoses,faves i favons sie,
lleguminoses,mongeta sie,
altres productes,especies aromàtiques herbàci,
horticoles,carxofa,
horticoles,pastanaga,
horticoles,maduixa,
horticoles,esparrecs,
altres productes,cànem,
horticoles,pebrot,
citrics,clementina,
fruita dolca,fruiters varis,
fruits de closca,nogueres,
fruita dolca,altres fruiters,
cereals,espelta,
cereals,sègol,
lleguminoses,llenties sie,
lleguminoses,erbs (llegum) sie,
farratgeres,fenigrec sie,
farratgeres,trepadella no sie,
altres productes,remolatxa,
horticoles,api,
horticoles,albergínia,
horticoles,nap i col xinesa,
horticoles,espinac,
horticoles,rave,
altres productes,alfàbrega,
fruita dolca,kiwi,3.0
cereals,triticale,1.0
farratgeres,veces no sie,
altres productes,llúpol,
altres productes,tòfona,
altres productes,lavanda o espígol,
lleguminoses,cigrons no sie,
farratgeres,fenigrec no sie,
lleguminoses,favera borda no sie o moreu n*,
horticoles,"endívia, escarola i xicoira",
citrics,llimoner,
fruita dolca,caqui,
altres productes,flors i ornamentals,
farratgeres,pèsol i ordi sie,
farratgeres,veça i blat sie,
farratgeres,veça i blat no sie,
fruita dolca,pruneres,
lleguminoses,erbs (llegum) no sie,
altres productes,viver arbre i arbust,
altres productes,julivert,
cereals,mestall,
fruita dolca,nectarins,
lleguminoses,cigrons sie,
cereals,blat dur,
fruits de closca,garrofer,
fruita dolca,codony,
lleguminoses,llenties no sie,
fruits de closca,pistatxer o festuc,
cereals,blat khorasan,
farratgeres,dàctil (dactylis),
fruita dolca,presseguers/nectarins,
altres productes,safrà,
farratgeres,veça i ordi no sie,
farratgeres,veça i ordi sie,
altres productes,especies aromatiques llenyoses,
farratgeres,trèvol sie,
farratgeres,trèvol no sie,
fruita dolca,magraner,
cereals,fajol,
altres productes,sajolida,
farratgeres,veça i triticale  no sie,
farratgeres,pèsol i civada no sie,
farratgeres,pèsol i civada sie,
oleaginoses,gira-sol,
altres productes,coriandre,
altres productes,boixac o calèndula,
altres productes,melissa o tarongina,
lleguminoses,guixes no sie o pedrerol no s*,
fruita dolca,nesprer,
farratgeres,sulla no sie o enclova no sie,
altres productes,farigola o timó,
farratgeres,poa,
altres productes,quinoa,
citrics,taronger,
oleaginoses,soia sie,
altres productes,lli,
horticoles,bolets,
altres productes,anet,
altres productes,fonoll,
altres productes,menta,
altres productes,romaní,
altres productes,marduix,
vinya,raïm de taula,
lleguminoses,favers borda sie o moreu sie,
altres productes,canya comuna,
altres productes,conreu de fruits del bosc,
horticoles,crèixens,
altres productes,castanyers,
arros,arròs,
farratgeres,agrostis,
proteaginoses,tramussos dolços sie,
altres productes,orenga,
guaret,guaret sie amb espècies mel?l,
fruita dolca,gerds,
oleaginoses,soia no sie,
proteaginoses,tramussos dolços no sie,
farratgeres,sulla sie o enclova sie,
fruita dolca,nabius,
farratgeres,closa any 1,
farratgeres,cua de rata (phleum),
cereals,escaiola,
altres productes,pericó o herba de sant joan,
farratgeres,pèsol i ordi no sie,
lleguminoses,garlanda no sie,
horticoles,borratja,
lleguminoses,guixó no sie o pèsol quadrat,
fruita dolca,nashi,
altres productes,camamilla,
fruita dolca,grosella,
lleguminoses,guixes sie o pedrerol sie,
cereals,tritordeum,
citrics,pomelo o aranja,
citrics,mandariner híbrid,
lleguminoses,'algarroba' herbàcia sie,
citrics,satsuma,
