ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC
BTH,Blé tendre,Blé tendre d’hiver,1,1.0
BTP,Blé tendre,Blé tendre de printemps,1,1.0
MID,Maïs grain et ensilage,Maïs doux,2,1.0
MIE,Maïs grain et ensilage,Maïs ensilage,2,1.0
MIS,Maïs grain et ensilage,Maïs,2,1.0
ORH,Orge,Orge d'hiver,3,1.0
ORP,Orge,Orge de printemps,3,1.0
AVH,Autres céréales,Avoine d’hiver,4,1.0
AVP,Autres céréales,Avoine de printemps,4,1.0
BDH,Autres céréales,Blé dur d’hiver,4,1.0
BDP,Autres céréales,Blé dur de printemps,4,1.0
BDT,Autres céréales,Blé dur de printemps semé tardivement (après le 31/05),4,1.0
CAG,Autres céréales,Autre céréale d’un autre genre,4,1.0
CGF,Autres céréales,Autre céréale de genre Fagopyrum,4,1.0
CGH,Autres céréales,Autre céréale de genre Phalaris,4,1.0
CGO,Autres céréales,Autre céréale de genre Sorghum,4,1.0
CGP,Autres céréales,Autre céréale de genre Panicum,4,1.0
CGS,Autres céréales,Autre céréale de genre Setaria,4,1.0
CHA,Autres céréales,Autre céréale d’hiver de genre Avena,4,1.0
CHH,Autres céréales,Autre céréale d’hiver de genre Hordeum,4,1.0
CHS,Autres céréales,Autre céréale d’hiver de genre Secale,4,1.0
CHT,Autres céréales,Autre céréale d’hiver de genre Triticum,4,1.0
CPA,Autres céréales,Autre céréale de printemps de genre Avena,4,1.0
CPH,Autres céréales,Autre céréale de printemps de genre Hordeum,4,1.0
CPS,Autres céréales,Autre céréale de printemps de genre Secale,4,1.0
CPT,Autres céréales,Autre céréale de printemps de genre Triticum,4,1.0
CPZ,Autres céréales,Autre céréale de printemps de genre Zea,4,1.0
EPE,Autres céréales,Épeautre,4,1.0
MCR,Autres céréales,Mélange de céréales,4,1.0
MLT,Autres céréales,Millet,4,1.0
SGH,Autres céréales,Seigle d’hiver,4,1.0
SGP,Autres céréales,Seigle de printemps,4,1.0
SOG,Autres céréales,Sorgho,4,1.0
SRS,Autres céréales,Sarrasin,4,1.0
TTH,Autres céréales,Triticale d’hiver,4,1.0
TTP,Autres céréales,Triticale de printemps,4,1.0
CZH,Colza,Colza d’hiver,5,4.0
CZP,Colza,Colza de printemps,5,4.0
TRN,Tournesol,Tournesol,6,4.0
ARA,Autres oléagineux,Arachide,7,4.0
LIH,Autres oléagineux,Lin non textile d’hiver,7,4.0
LIP,Autres oléagineux,Lin non textile de printemps,7,4.0
MOL,Autres oléagineux,Mélange d’oléagineux,7,4.0
NVE,Autres oléagineux,Navette d’été,7,4.0
NVH,Autres oléagineux,Navette d’hiver,7,4.0
OAG,Autres oléagineux,Autre oléagineux d’un autre genre,7,4.0
OEH,Autres oléagineux,Autre oléagineux d’espèce Helianthus,7,4.0
OEI,Autres oléagineux,Œillette,7,4.0
OHN,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica napus,7,4.0
OHR,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica rapa,7,4.0
OPN,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica napus,7,4.0
OPR,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica rapa,7,4.0
SOJ,Autres oléagineux,Soja,7,4.0
FEV,Protéagineux,Fève,8,
FVL,Protéagineux,Féverole semée avant le 31/05,8,
FVT,Protéagineux,Féverole semée tardivement (après le 31/05),8,
LDH,Protéagineux,Lupin doux d’hiver,8,7.0
LDP,Protéagineux,Lupin doux de printemps semé avant le 31/05,8,7.0
LDT,Protéagineux,Lupin doux de printemps semé tardivement (après le 31/05),8,7.0
MPC,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,8,
MPP,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole),8,
MPT,Protéagineux,Mélange de protéagineux semés tardivement (après le 31/05),8,
PAG,Protéagineux,Autre protéagineux d’un autre genre,8,
PHI,Protéagineux,Pois d’hiver,8,7.0
PPR,Protéagineux,Pois de printemps semé avant le 31/05,8,7.0
PPT,Protéagineux,Pois de printemps semé tardivement (après le 31/05),8,7.0
CHV,Plantes à fibres,Chanvre,9,9.0
CSE,Plantes à fibres,Chanvre sans étiquette conforme,9,9.0
LIF,Plantes à fibres,Lin fibres,9,9.0
