ID_CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC,similarity
BTH,1,1.0,100.0
BTP,1,1.0,100.0
MID,2,1.0,100.0
MIE,2,1.0,100.0
MIS,2,1.0,100.0
ORH,3,1.0,100.0
ORP,3,1.0,100.0
AVH,4,1.0,100.0
AVP,4,1.0,100.0
BDH,4,1.0,100.0
BDP,4,1.0,100.0
BDT,4,1.0,100.0
CAG,4,1.0,100.0
CGF,4,1.0,100.0
CGH,4,1.0,100.0
CGO,4,1.0,100.0
CGP,4,1.0,100.0
CGS,4,1.0,100.0
CHA,4,1.0,100.0
CHH,4,1.0,100.0
CHS,4,1.0,100.0
CHT,4,1.0,100.0
CPA,4,1.0,100.0
CPH,4,1.0,100.0
CPS,4,1.0,100.0
CPT,4,1.0,100.0
CPZ,4,1.0,100.0
EPE,4,1.0,100.0
MCR,4,1.0,100.0
MLT,4,1.0,100.0
SGH,4,1.0,100.0
SGP,4,1.0,100.0
SOG,4,1.0,100.0
SRS,4,1.0,100.0
TTH,4,1.0,100.0
TTP,4,1.0,100.0
CZH,5,4.0,100.0
CZP,5,4.0,100.0
TRN,6,4.0,100.0
ARA,7,4.0,100.0
LIH,7,4.0,100.0
LIP,7,4.0,100.0
MOL,7,4.0,100.0
NVE,7,4.0,100.0
NVH,7,4.0,100.0
OAG,7,4.0,100.0
OEH,7,4.0,100.0
OEI,7,4.0,100.0
OHN,7,4.0,100.0
OHR,7,4.0,100.0
OPN,7,4.0,100.0
OPR,7,4.0,100.0
SOJ,7,4.0,100.0
FEV,8,,
FVL,8,,
FVT,8,,
LDH,8,7.0,100.0
LDP,8,7.0,100.0
LDT,8,7.0,100.0
MPC,8,1.0,100.0
MPP,8,7.0,100.0
MPT,8,,
PAG,8,,
PHI,8,7.0,100.0
PPR,8,7.0,100.0
PPT,8,7.0,100.0
CHV,9,9.0,100.0
CSE,9,9.0,100.0
LIF,9,9.0,100.0
J5M,11,,
J6P,11,,
J6S,11,,
JNO,11,,
RIZ,14,1.0,100.0
LEC,15,7.0,100.0
PCH,15,7.0,100.0
BVF,16,9.0,100.0
CAF,16,9.0,100.0
CHF,16,9.0,100.0
CPL,16,9.0,100.0
DTY,16,9.0,100.0
FAG,16,9.0,100.0
FET,16,9.0,100.0
FF5,16,9.0,100.0
FF6,16,9.0,100.0
FF7,16,9.0,100.0
FF8,16,9.0,100.0
FFO,16,9.0,100.0
FLO,16,9.0,100.0
FSG,16,9.0,100.0
GAI,16,9.0,100.0
GES,16,9.0,100.0
GFP,16,9.0,100.0
JO5,16,9.0,100.0
JO6,16,9.0,100.0
JO7,16,9.0,100.0
JO8,16,9.0,100.0
JOD,16,9.0,100.0
JOS,16,9.0,100.0
LEF,16,9.0,100.0
LFH,16,9.0,100.0
LFP,16,9.0,100.0
LH5,16,9.0,100.0
LH6,16,9.0,100.0
LH7,16,9.0,100.0
LH8,16,9.0,100.0
LO7,16,9.0,100.0
LO8,16,9.0,100.0
LOT,16,9.0,100.0
LP5,16,9.0,100.0
LP6,16,9.0,100.0
LP7,16,9.0,100.0
LP8,16,9.0,100.0
LU5,16,9.0,100.0
LU6,16,9.0,100.0
LU7,16,9.0,100.0
LU8,16,9.0,100.0
LUD,16,9.0,100.0
LUZ,16,9.0,100.0
MC5,16,9.0,100.0
MC6,16,9.0,100.0
MC7,16,9.0,100.0
MC8,16,9.0,100.0
ME5,16,9.0,100.0
ME6,16,9.0,100.0
ME7,16,9.0,100.0
ME8,16,9.0,100.0
MED,16,9.0,100.0
MEL,16,9.0,100.0
MH5,16,9.0,100.0
MH6,16,9.0,100.0
MH7,16,9.0,100.0
MI7,16,9.0,100.0
MI8,16,9.0,100.0
MIN,16,9.0,100.0
ML5,16,9.0,100.0
ML6,16,9.0,100.0
ML7,16,9.0,100.0
ML8,16,9.0,100.0
MLC,16,9.0,100.0
MLD,16,9.0,100.0
MLF,16,9.0,100.0
MLG,16,9.0,100.0
MOH,16,9.0,100.0
NVF,16,9.0,100.0
PAT,16,9.0,100.0
PFH,16,9.0,100.0
PFP,16,9.0,100.0
PH5,16,9.0,100.0
PH6,16,9.0,100.0
PH7,16,9.0,100.0
PH8,16,9.0,100.0
PP5,16,9.0,100.0
PP6,16,9.0,100.0
PP7,16,9.0,100.0
PP8,16,9.0,100.0
RDF,16,9.0,100.0
SA5,16,9.0,100.0
SA6,16,9.0,100.0
SA7,16,9.0,100.0
SA8,16,9.0,100.0
SAD,16,9.0,100.0
SAI,16,9.0,100.0
SE5,16,9.0,100.0
SE6,16,9.0,100.0
