,Grup,Cultiu,CROPS_CAT_fr
0,FRUITA DOLCA,PERERES/POMERES,"Translated(src=ca, dest=fr, text=Pierres / pommiers, pronunciation=None, extra_data=""{'confiden..."")"
1,CEREALS,ORDI,"Translated(src=en, dest=fr, text=Ordon, pronunciation=None, extra_data=""{'confiden..."")"
2,CEREALS D'ESTIU,SORGO,"Translated(src=es, dest=fr, text=SORGHO, pronunciation=None, extra_data=""{'confiden..."")"
3,CEREALS,CIVADA,"Translated(src=ca, dest=fr, text=Avoine, pronunciation=None, extra_data=""{'confiden..."")"
22,HORTICOLES,PATATA,"Translated(src=co, dest=fr, text=Patato, pronunciation=None, extra_data=""{'confiden..."")"
25,OLIVERAR,OLIVERES,"Translated(src=ca, dest=fr, text=Olivier, pronunciation=None, extra_data=""{'confiden..."")"
28,FRUITA DOLCA,PRESSEGUERS,"Translated(src=ca, dest=fr, text=La pêche, pronunciation=None, extra_data=""{'confiden..."")"
36,FRUITA DOLCA,PERERES,"Translated(src=ca, dest=fr, text=Poire, pronunciation=None, extra_data=""{'confiden..."")"
37,FRUITA DOLCA,POMERES,"Translated(src=ca, dest=fr, text=pommiers, pronunciation=None, extra_data=""{'confiden..."")"
39,FRUITA DOLCA,CIRERERS,"Translated(src=ca, dest=fr, text=Cerise, pronunciation=None, extra_data=""{'confiden..."")"
40,HORTICOLES,MELÓ,"Translated(src=hu, dest=fr, text=Mélo, pronunciation=None, extra_data=""{'confiden..."")"
41,HORTICOLES,SÍNDRIA,"Translated(src=ca, dest=fr, text=Pastèque, pronunciation=None, extra_data=""{'confiden..."")"
43,HORTICOLES,"CEBES, CALÇOTS, PORROS I ALLS","Translated(src=ca, dest=fr, text=Oignons, calçots, poireaux et ail, pronunciation=None, extra_data=""{'confiden..."")"
44,HORTICOLES,CARBASSÓ,"Translated(src=ca, dest=fr, text=Courbore, pronunciation=None, extra_data=""{'confiden..."")"
45,HORTICOLES,CARABASSA,"Translated(src=ca, dest=fr, text=CITROUILLE, pronunciation=None, extra_data=""{'confiden..."")"
46,HORTICOLES,TOMÀQUET,"Translated(src=ca, dest=fr, text=Tomate, pronunciation=None, extra_data=""{'confiden..."")"
87,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,"Translated(src=ca, dest=fr, text=Pas de sie / sup.SE gratuit, pronunciation=None, extra_data=""{'confiden..."")"
92,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,"Translated(src=ca, dest=fr, text=SIE / SUDER FALLOW.Semis gratuit, pronunciation=None, extra_data=""{'confiden..."")"
94,PROTEAGINOSES,PÈSOLS SIE,"Translated(src=ca, dest=fr, text=Pois sie, pronunciation=None, extra_data=""{'confiden..."")"
95,LLEGUMINOSES,VECES SIE,"Translated(src=es, dest=fr, text=Somes, pronunciation=None, extra_data=""{'confiden..."")"
134,VINYA,VINYES,"Translated(src=ca, dest=fr, text=Vignobles, pronunciation=None, extra_data=""{'confiden..."")"
162,FRUITS DE CLOSCA,AMETLLERS,"Translated(src=ca, dest=fr, text=Amande, pronunciation=None, extra_data=""{'confiden..."")"
166,FRUITA DOLCA,ALBERCOQUERS,"Translated(src=ca, dest=fr, text=Abricot, pronunciation=None, extra_data=""{'confiden..."")"
173,PROTEAGINOSES,PÈSOLS NO SIE,"Translated(src=ca, dest=fr, text=Pois pas de sie, pronunciation=None, extra_data=""{'confiden..."")"
185,HORTICOLES,HORTA,"Translated(src=en, dest=fr, text=Horta, pronunciation=None, extra_data=""{'confiden..."")"
189,CEREALS,BLAT TOU,"Translated(src=ht, dest=fr, text=Blat aussi, pronunciation=None, extra_data=""{'confiden..."")"
835,CEREALS,MILL,"Translated(src=en, dest=fr, text=MOULIN, pronunciation=None, extra_data=""{'confiden..."")"
908,OLEAGINOSES,CAMELINA,"Translated(src=mg, dest=fr, text=Cameline, pronunciation=None, extra_data=""{'confiden..."")"
924,FARRATGERES,ALFALS SIE,"Translated(src=de, dest=fr, text=Vous alfale, pronunciation=None, extra_data=""{'confiden..."")"
936,FARRATGERES,TREPADELLA SIE,"Translated(src=de, dest=fr, text=Trepadella vous, pronunciation=None, extra_data=""{'confiden..."")"
938,FARRATGERES,FESTUCA,"Translated(src=ro, dest=fr, text=Festuca, pronunciation=None, extra_data=""{'confiden..."")"
940,FARRATGERES,RAY-GRASS,"Translated(src=en, dest=fr, text=Grass, pronunciation=None, extra_data=""{'confiden..."")"
980,FRUITA DOLCA,FIGUERA,"Translated(src=ca, dest=fr, text=Figuier, pronunciation=None, extra_data=""{'confiden..."")"
981,FARRATGERES,VEÇA I CIVADA SIE,"Translated(src=ca, dest=fr, text=Veça et avoine Sie, pronunciation=None, extra_data=""{'confiden..."")"
1006,FARRATGERES,VEÇA I CIVADA NO SIE,"Translated(src=ca, dest=fr, text=Veca et avoine non sie, pronunciation=None, extra_data=""{'confiden..."")"
1150,CEREALS D'ESTIU,BLAT DE MORO,"Translated(src=ca, dest=fr, text=MAÏS, pronunciation=None, extra_data=""{'confiden..."")"
1220,PROTEAGINOSES,FAVES I FAVONS NO SIE,"Translated(src=en, dest=fr, text=Les favoris je ne préfère pas sie, pronunciation=None, extra_data=""{'confiden..."")"
1248,FRUITS DE CLOSCA,AVELLANER,"Translated(src=ca, dest=fr, text=Haïr, pronunciation=None, extra_data=""{'confiden..."")"
1250,HORTICOLES,ENCIAM,"Translated(src=ca, dest=fr, text=Salade, pronunciation=None, extra_data=""{'confiden..."")"
1254,HORTICOLES,COL I COLIFLOR,"Translated(src=ro, dest=fr, text=Coliflor, pronunciation=None, extra_data=""{'confiden..."")"
1256,HORTICOLES,COGOMBRE,"Translated(src=ca, dest=fr, text=Concombre, pronunciation=None, extra_data=""{'confiden..."")"
1257,HORTICOLES,BLEDA,"Translated(src=sl, dest=fr, text=Pâle, pronunciation=None, extra_data=""{'confiden..."")"
1261,FARRATGERES,VEÇA I TRITICALE SIE,"Translated(src=ca, dest=fr, text=Veça et Triticale Sie, pronunciation=None, extra_data=""{'confiden..."")"
1262,FARRATGERES,ALFALS NO SIE,"Translated(src=de, dest=fr, text=Alfales non vous, pronunciation=None, extra_data=""{'confiden..."")"
1263,LLEGUMINOSES,MONGETA NO SIE,"Translated(src=de, dest=fr, text=Mongeta non toi, pronunciation=None, extra_data=""{'confiden..."")"
1374,OLEAGINOSES,COLZA,"Translated(src=fr, dest=fr, text=COLZA, pronunciation=None, extra_data=""{'confiden..."")"
